"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update","decay"
"200002",1,0,4,1,TRUE,21,1,50,0.0982307323098631,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",2,0,3,0,TRUE,21,0,0,0.732341958026264,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",3,0,2,1,TRUE,21,1,100,0.107481825828456,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",4,0,3,1,TRUE,21,1,50,0.290004199103695,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",5,0,3,0,TRUE,21,0,0,0.195740568211549,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",6,0,2,1,TRUE,21,1,100,0.189923780737957,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",7,0,2,0,TRUE,21,0,0,0.179176956716169,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",8,0,4,1,TRUE,21,1,50,0.25988177543245,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",9,0,2,0,TRUE,21,0,0,0.12945216261216,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",10,0,1,1,TRUE,21,1,-250,0.154331243271689,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",11,0,4,1,TRUE,21,1,-200,0.17144286479133,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",12,0,1,0,TRUE,21,0,0,0.229294701296168,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",13,0,4,1,TRUE,21,1,50,0.308471492028464,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",14,0,3,1,TRUE,21,1,0,0.953005251475363,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",15,0,2,0,TRUE,21,0,0,0.406632784887513,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",16,0,4,1,TRUE,21,1,50,0.392579046543231,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",17,0,3,1,TRUE,21,1,50,0.15552800539322,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",18,0,1,1,TRUE,21,1,-250,0.401452236083184,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",19,0,1,1,TRUE,21,1,100,0.360308557003356,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",20,0,1,0,TRUE,21,0,0,0.93733072436404,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",21,1,2,NA,FALSE,21,0,0,0.69090265075135,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",22,1,1,NA,FALSE,21,1,-250,0.666991725662722,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",23,1,3,NA,FALSE,21,1,50,0.423278240352965,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",24,1,1,NA,FALSE,21,0,0,0.408351210875296,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",25,1,2,NA,FALSE,21,1,100,0.557283162283405,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",26,1,1,NA,FALSE,21,1,100,1.15275386808751,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",27,1,2,NA,FALSE,21,1,100,0.695688754127743,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",28,1,3,NA,FALSE,21,1,50,0.760413259710638,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",29,1,4,NA,FALSE,21,1,50,0.212447579694347,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",30,1,2,NA,FALSE,21,1,100,0.10705516201156,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",31,1,1,NA,FALSE,21,0,0,0.240806480027043,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",32,1,4,NA,FALSE,21,1,-200,0.513514025215751,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",33,1,3,NA,FALSE,21,0,0,0.76204943340053,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",34,1,3,NA,FALSE,21,1,50,1.76534205286171,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",35,1,4,NA,FALSE,21,0,0,1.12083206450032,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",36,1,4,NA,FALSE,21,1,50,0.604459853340796,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",37,1,3,NA,FALSE,21,0,0,0.630992454441646,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",38,1,3,NA,FALSE,21,1,50,0.358065784709049,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",39,1,4,NA,FALSE,21,1,50,0.133122202594328,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",40,1,1,NA,FALSE,21,1,100,0.374547880786409,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",41,2,3,NA,FALSE,21,1,50,0.423677835657941,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",42,2,3,NA,FALSE,21,1,-25,0.168166806556159,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",43,2,1,NA,FALSE,21,1,-250,0.158008249438746,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",44,2,3,NA,FALSE,21,0,0,2.05691712327172,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",45,2,3,NA,FALSE,21,1,50,0.391533899032904,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
"200002",46,2,4,NA,FALSE,21,0,0,0.310118229696907,1.404005,0.05751165,0.568576,-0.575262,0.353264,0.910239,0.411138,0.3819815
