"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","update"
"202186",29,1,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",30,1,2,NA,FALSE,31,1,-1150,0.2650915,0.516273,-0.270166,0.162988
"202186",31,1,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",32,1,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",33,1,4,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",34,1,3,NA,FALSE,31,1,0,0.2650915,0.516273,-0.270166,0.162988
"202186",35,1,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",36,1,2,NA,FALSE,31,1,-1150,0.2650915,0.516273,-0.270166,0.162988
"202186",37,1,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",38,1,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",39,1,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",40,1,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",41,2,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",42,2,1,NA,FALSE,31,1,-250,0.2650915,0.516273,-0.270166,0.162988
"202186",43,2,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",44,2,1,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",45,2,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",46,2,2,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",47,2,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",48,2,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",49,2,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",50,2,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",51,2,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",52,2,3,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",53,2,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",54,2,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",55,2,2,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",56,2,2,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",57,2,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",58,2,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",59,2,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",60,2,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",61,3,2,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",62,3,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",63,3,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",64,3,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",65,3,4,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",66,3,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",67,3,3,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",68,3,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",69,3,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",70,3,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",71,3,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",72,3,4,NA,FALSE,31,1,-200,0.2650915,0.516273,-0.270166,0.162988
"202186",73,3,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",74,3,2,NA,FALSE,31,1,100,0.2650915,0.516273,-0.270166,0.162988
"202186",75,3,3,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",76,3,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",77,3,4,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",78,3,4,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",79,3,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",80,3,2,NA,FALSE,31,1,-1150,0.2650915,0.516273,-0.270166,0.162988
"202186",81,4,3,NA,FALSE,31,1,-25,0.2650915,0.516273,-0.270166,0.162988
"202186",82,4,1,NA,FALSE,31,1,-250,0.2650915,0.516273,-0.270166,0.162988
"202186",83,4,1,NA,FALSE,31,1,-250,0.2650915,0.516273,-0.270166,0.162988
"202186",84,4,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",85,4,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",86,4,4,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",87,4,2,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",88,4,1,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
"202186",89,4,3,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",90,4,3,NA,FALSE,31,1,0,0.2650915,0.516273,-0.270166,0.162988
"202186",91,4,4,NA,FALSE,31,1,50,0.2650915,0.516273,-0.270166,0.162988
"202186",92,4,3,NA,FALSE,31,0,0,0.2650915,0.516273,-0.270166,0.162988
