"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","update","decay"
"200006",1,0,4,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",2,0,3,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",3,0,2,1,TRUE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",4,0,3,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",5,0,3,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",6,0,2,1,TRUE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",7,0,2,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",8,0,4,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",9,0,2,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",10,0,1,1,TRUE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",11,0,4,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",12,0,1,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",13,0,4,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",14,0,3,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",15,0,2,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",16,0,4,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",17,0,3,1,TRUE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",18,0,1,1,TRUE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",19,0,1,1,TRUE,98,1,-250,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",20,0,1,0,TRUE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",21,1,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",22,1,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",23,1,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",24,1,1,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",25,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",26,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",27,1,2,NA,FALSE,98,1,-1150,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",28,1,1,NA,FALSE,98,1,-250,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",29,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",30,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",31,1,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",32,1,1,NA,FALSE,98,1,-250,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",33,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",34,1,1,NA,FALSE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",35,1,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",36,1,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",37,1,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",38,1,3,NA,FALSE,98,1,-25,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",39,1,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",40,1,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",41,2,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",42,2,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",43,2,1,NA,FALSE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",44,2,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",45,2,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",46,2,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",47,2,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",48,2,1,NA,FALSE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",49,2,3,NA,FALSE,98,1,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",50,2,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",51,2,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",52,2,3,NA,FALSE,98,1,-25,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",53,2,3,NA,FALSE,98,1,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",54,2,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",55,2,2,NA,FALSE,98,1,-1150,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",56,2,1,NA,FALSE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",57,2,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",58,2,1,NA,FALSE,98,1,-250,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",59,2,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",60,2,1,NA,FALSE,98,0,0,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",61,3,2,NA,FALSE,98,1,100,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",62,3,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",63,3,3,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
"200006",64,3,4,NA,FALSE,98,1,50,0.3817125,0.662998,-0.252531,0.569769,0.0402224
