"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","mag","con","retend"
"200002",1,0,4,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",2,0,3,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",3,0,2,1,TRUE,83,1,100,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",4,0,3,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",5,0,3,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",6,0,2,1,TRUE,83,1,100,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",7,0,2,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",8,0,4,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",9,0,2,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",10,0,1,1,TRUE,83,1,-250,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",11,0,4,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",12,0,1,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",13,0,4,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",14,0,3,1,TRUE,83,1,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",15,0,2,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",16,0,4,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",17,0,3,1,TRUE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",18,0,1,1,TRUE,83,1,-250,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",19,0,1,1,TRUE,83,1,100,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",20,0,1,0,TRUE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",21,1,1,NA,FALSE,83,1,-250,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",22,1,3,NA,FALSE,83,1,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",23,1,3,NA,FALSE,83,1,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",24,1,1,NA,FALSE,83,1,-250,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",25,1,1,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",26,1,1,NA,FALSE,83,1,-250,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",27,1,2,NA,FALSE,83,1,100,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",28,1,4,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",29,1,1,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",30,1,3,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",31,1,4,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",32,1,3,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",33,1,2,NA,FALSE,83,1,100,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",34,1,4,NA,FALSE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",35,1,4,NA,FALSE,83,1,50,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",36,1,3,NA,FALSE,83,1,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
"200002",37,1,3,NA,FALSE,83,0,0,5.28053,1.84687,0.286799,-1.644905,0.7488135
