"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","wgt_pun","wgt_rew","update"
"200002",1,0,4,1,TRUE,155,1,50,0.0902548505048154,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",2,0,3,0,TRUE,155,0,0,0.0904840819576865,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",3,0,2,1,TRUE,155,1,100,0.077077435155229,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",4,0,3,1,TRUE,155,1,50,0.124723341075273,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",5,0,3,0,TRUE,155,0,0,0.102619096779101,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",6,0,2,1,TRUE,155,1,100,0.238604914421754,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",7,0,2,0,TRUE,155,0,0,0.403537612666219,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",8,0,4,1,TRUE,155,1,50,0.167718154990113,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",9,0,2,0,TRUE,155,0,0,0.312564582194673,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",10,0,1,1,TRUE,155,1,-250,0.0881390125649905,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",11,0,4,1,TRUE,155,1,50,0.26018726283439,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",12,0,1,0,TRUE,155,0,0,0.0945615541667871,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",13,0,4,1,TRUE,155,1,50,0.161126848647121,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",14,0,3,1,TRUE,155,1,0,0.365834467101673,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",15,0,2,0,TRUE,155,0,0,0.305522237602582,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",16,0,4,1,TRUE,155,1,50,0.314163691537519,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",17,0,3,1,TRUE,155,1,-25,0.26447551781179,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",18,0,1,1,TRUE,155,1,100,0.131319420608526,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",19,0,1,1,TRUE,155,1,-250,0.115439566844764,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",20,0,1,0,TRUE,155,0,0,0.12168979290277,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",21,1,4,NA,FALSE,155,1,50,0.155739916404364,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",22,1,4,NA,FALSE,155,1,50,0.721186761273992,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",23,1,3,NA,FALSE,155,1,50,0.259881830073371,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
