"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","decay"
"200001",1,0,4,1,TRUE,179,1,50,0.185458092811971,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",2,0,3,0,TRUE,179,0,0,0.322848936596971,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",3,0,2,1,TRUE,179,1,100,0.331284219121245,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",4,0,3,1,TRUE,179,1,50,0.713512278512198,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",5,0,3,0,TRUE,179,0,0,0.314524624546601,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",6,0,2,1,TRUE,179,1,100,0.182783631335415,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",7,0,2,0,TRUE,179,0,0,0.39132484647743,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",8,0,4,1,TRUE,179,1,50,0.200768363636993,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",9,0,2,0,TRUE,179,0,0,0.410915661472884,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",10,0,1,1,TRUE,179,1,100,0.240743820122859,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",11,0,4,1,TRUE,179,1,50,0.267003899878784,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",12,0,1,0,TRUE,179,0,0,0.439296433826101,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",13,0,4,1,TRUE,179,1,50,0.188964878672641,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",14,0,3,1,TRUE,179,1,50,0.942192059744319,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",15,0,2,0,TRUE,179,0,0,0.921747242365741,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",16,0,4,1,TRUE,179,1,50,0.213180558562543,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",17,0,3,1,TRUE,179,1,0,0.57123879270582,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",18,0,1,1,TRUE,179,1,-250,0.381315107340337,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",19,0,1,1,TRUE,179,1,-250,0.591930146290378,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",20,0,1,0,TRUE,179,0,0,0.413947747283598,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",21,1,2,NA,FALSE,179,0,0,0.442241273066192,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",22,1,3,NA,FALSE,179,1,50,0.744698201933592,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",23,1,3,NA,FALSE,179,1,50,0.612416398095427,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",24,1,3,NA,FALSE,179,1,50,0.258073841362671,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",25,1,2,NA,FALSE,179,0,0,0.647688065844881,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",26,1,2,NA,FALSE,179,1,-1150,0.350278679727633,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",27,1,4,NA,FALSE,179,0,0,0.459648694787556,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",28,1,2,NA,FALSE,179,0,0,0.576644552813659,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",29,1,4,NA,FALSE,179,0,0,0.331908728729007,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",30,1,1,NA,FALSE,179,1,-250,0.321672247391228,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",31,1,2,NA,FALSE,179,1,100,0.274425639008257,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",32,1,3,NA,FALSE,179,1,50,0.670880749352249,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",33,1,3,NA,FALSE,179,1,0,0.53427541789636,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",34,1,4,NA,FALSE,179,1,50,0.333892841426076,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",35,1,1,NA,FALSE,179,1,100,0.239018534400555,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",36,1,1,NA,FALSE,179,1,100,0.201735900022581,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",37,1,3,NA,FALSE,179,1,50,0.711159670764354,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",38,1,4,NA,FALSE,179,1,50,0.349449436625396,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",39,1,4,NA,FALSE,179,1,50,0.255292985481856,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",40,1,2,NA,FALSE,179,0,0,0.592884156330338,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",41,2,3,NA,FALSE,179,1,50,0.241880618544625,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
