"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","retend"
"200002",1,0,4,1,TRUE,12,1,50,0.221668926678612,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",2,0,3,0,TRUE,12,0,0,0.18821582472287,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",3,0,2,1,TRUE,12,1,100,0.602145638063546,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",4,0,3,1,TRUE,12,1,50,0.216791370544574,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",5,0,3,0,TRUE,12,0,0,0.175927338157304,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",6,0,2,1,TRUE,12,1,100,0.157630396417113,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",7,0,2,0,TRUE,12,0,0,0.134002075507809,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",8,0,4,1,TRUE,12,1,50,0.163551897872283,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",9,0,2,0,TRUE,12,0,0,0.378830167442739,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",10,0,1,1,TRUE,12,1,-250,0.33977278602146,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",11,0,4,1,TRUE,12,1,50,0.209595104294604,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",12,0,1,0,TRUE,12,0,0,0.172308470610732,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",13,0,4,1,TRUE,12,1,50,0.191883254373955,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",14,0,3,1,TRUE,12,1,-25,0.176741305702919,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",15,0,2,0,TRUE,12,0,0,0.151233073807754,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",16,0,4,1,TRUE,12,1,50,0.151884259525402,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",17,0,3,1,TRUE,12,1,-25,0.46564689439409,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",18,0,1,1,TRUE,12,1,-250,0.815737004394122,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",19,0,1,1,TRUE,12,1,100,0.298538298583916,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",20,0,1,0,TRUE,12,0,0,0.113865237478994,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",21,1,3,NA,FALSE,12,0,0,0.548861243646596,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",22,1,3,NA,FALSE,12,0,0,0.529368858857509,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",23,1,4,NA,FALSE,12,0,0,0.322243406122265,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",24,1,2,NA,FALSE,12,0,0,0.442820569139605,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",25,1,1,NA,FALSE,12,1,-250,0.322381920941085,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",26,1,3,NA,FALSE,12,1,50,0.490975011084384,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",27,1,3,NA,FALSE,12,1,-25,0.297150553866243,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",28,1,1,NA,FALSE,12,1,100,0.808117571382577,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",29,1,3,NA,FALSE,12,1,50,0.714701892125826,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",30,1,4,NA,FALSE,12,0,0,0.71759424304316,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",31,1,4,NA,FALSE,12,1,50,0.428159942270136,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",32,1,4,NA,FALSE,12,1,-200,0.497541604682375,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",33,1,2,NA,FALSE,12,1,100,0.303574878984308,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",34,1,2,NA,FALSE,12,1,100,0.783911837217442,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",35,1,3,NA,FALSE,12,0,0,0.525797589958811,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",36,1,4,NA,FALSE,12,1,50,0.809315349340902,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",37,1,4,NA,FALSE,12,1,50,0.498904552561592,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",38,1,1,NA,FALSE,12,0,0,0.705522748949805,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",39,1,2,NA,FALSE,12,1,100,0.529743724449653,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
"200002",40,1,4,NA,FALSE,12,0,0,0.268642950866423,1.406125,0.05762245,0.570445,-0.639694,0.213435,1.010695,0.504439
