"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","consistency","update_rate_mf","decay_factor","pos_val","neg_val","var_pe_update"
"202001",1,0,4,1,TRUE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",2,0,3,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",3,0,2,1,TRUE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",4,0,3,1,TRUE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",5,0,3,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",6,0,2,1,TRUE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",7,0,2,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",8,0,4,1,TRUE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",9,0,2,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",10,0,1,1,TRUE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",11,0,4,1,TRUE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",12,0,1,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",13,0,4,1,TRUE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",14,0,3,1,TRUE,34,1,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",15,0,2,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",16,0,4,1,TRUE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",17,0,3,1,TRUE,34,1,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",18,0,1,1,TRUE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",19,0,1,1,TRUE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",20,0,1,0,TRUE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",21,1,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",22,1,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",23,1,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",24,1,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",25,1,2,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",26,1,1,NA,FALSE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",27,1,1,NA,FALSE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",28,1,3,NA,FALSE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",29,1,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",30,1,1,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",31,1,1,NA,FALSE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",32,1,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",33,1,1,NA,FALSE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",34,1,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",35,1,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",36,1,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",37,1,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",38,1,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",39,1,1,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",40,1,3,NA,FALSE,34,1,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",41,2,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",42,2,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",43,2,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",44,2,3,NA,FALSE,34,1,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",45,2,2,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",46,2,2,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",47,2,1,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",48,2,3,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",49,2,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",50,2,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",51,2,3,NA,FALSE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",52,2,2,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",53,2,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",54,2,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",55,2,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",56,2,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",57,2,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",58,2,3,NA,FALSE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",59,2,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",60,2,3,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",61,3,2,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",62,3,1,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",63,3,2,NA,FALSE,34,1,-1150,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",64,3,1,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",65,3,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",66,3,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",67,3,3,NA,FALSE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",68,3,3,NA,FALSE,34,1,-25,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",69,3,1,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",70,3,4,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",71,3,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",72,3,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",73,3,1,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",74,3,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",75,3,1,NA,FALSE,34,1,-250,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",76,3,4,NA,FALSE,34,1,-200,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",77,3,2,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",78,3,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",79,3,1,NA,FALSE,34,1,100,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",80,3,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",81,4,4,NA,FALSE,34,1,50,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
"202001",82,4,3,NA,FALSE,34,0,0,0.3997135,0.335514,0.498425,3.241085,5.158095,0.346433
