"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","retend"
"200002",1,0,4,1,TRUE,110,1,50,1.10885040558948,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",2,0,3,0,TRUE,110,0,0,0.363912885841046,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",3,0,2,1,TRUE,110,1,100,1.63709589870204,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",4,0,3,1,TRUE,110,1,50,0.211653361633118,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",5,0,3,0,TRUE,110,0,0,0.272426220530574,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",6,0,2,1,TRUE,110,1,100,0.324636997971737,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",7,0,2,0,TRUE,110,0,0,0.149550017405476,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",8,0,4,1,TRUE,110,1,50,0.90792769936936,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",9,0,2,0,TRUE,110,0,0,0.200698810015693,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",10,0,1,1,TRUE,110,1,-250,0.559839903906777,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",11,0,4,1,TRUE,110,1,50,0.172880207360024,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",12,0,1,0,TRUE,110,0,0,0.35592196768064,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",13,0,4,1,TRUE,110,1,50,0.267397010736041,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",14,0,3,1,TRUE,110,1,50,0.962820876588406,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",15,0,2,0,TRUE,110,0,0,0.312935499155685,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",16,0,4,1,TRUE,110,1,-200,0.300447034424167,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",17,0,3,1,TRUE,110,1,-25,0.848721319666759,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",18,0,1,1,TRUE,110,1,100,0.668451835456131,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",19,0,1,1,TRUE,110,1,-250,0.228375581571982,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",20,0,1,0,TRUE,110,0,0,0.360134762692335,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",21,1,1,NA,FALSE,110,0,0,0.702750687037902,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",22,1,1,NA,FALSE,110,0,0,0.78883825653431,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",23,1,2,NA,FALSE,110,0,0,0.157161081653839,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",24,1,4,NA,FALSE,110,0,0,0.296286430979199,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",25,1,4,NA,FALSE,110,0,0,0.353631814296863,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",26,1,4,NA,FALSE,110,0,0,0.6180719247277,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",27,1,3,NA,FALSE,110,1,-25,0.273394539833941,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",28,1,1,NA,FALSE,110,0,0,0.477463917790046,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",29,1,4,NA,FALSE,110,1,-200,0.507451657158038,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",30,1,1,NA,FALSE,110,0,0,0.429441119866505,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",31,1,2,NA,FALSE,110,1,100,0.148079842448777,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",32,1,1,NA,FALSE,110,0,0,0.656281368912469,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",33,1,1,NA,FALSE,110,0,0,0.47517291169456,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",34,1,1,NA,FALSE,110,0,0,0.57906467937077,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",35,1,1,NA,FALSE,110,1,100,0.297656154779251,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",36,1,2,NA,FALSE,110,1,100,0.371401051529698,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",37,1,1,NA,FALSE,110,1,-250,0.269145618080619,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",38,1,2,NA,FALSE,110,1,100,0.714567894800779,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",39,1,1,NA,FALSE,110,1,100,0.443333634949366,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",40,1,3,NA,FALSE,110,1,50,1.17427565376621,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",41,2,1,NA,FALSE,110,0,0,0.726876586365322,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",42,2,3,NA,FALSE,110,1,0,0.444979593866147,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",43,2,3,NA,FALSE,110,1,-25,0.498278591334348,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",44,2,4,NA,FALSE,110,1,50,0.17055439948481,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",45,2,3,NA,FALSE,110,0,0,1.06744175395349,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",46,2,4,NA,FALSE,110,1,50,0.259123186750856,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",47,2,1,NA,FALSE,110,0,0,0.157910307011788,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",48,2,2,NA,FALSE,110,1,100,0.292414211665548,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",49,2,2,NA,FALSE,110,1,100,0.132191055093468,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",50,2,3,NA,FALSE,110,1,50,1.58662788297882,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",51,2,3,NA,FALSE,110,1,-25,0.966066013665538,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",52,2,4,NA,FALSE,110,0,0,0.237541690440254,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",53,2,3,NA,FALSE,110,1,50,0.630740117241841,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",54,2,2,NA,FALSE,110,0,0,1.3165413309569,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",55,2,1,NA,FALSE,110,1,100,0.243278696170687,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",56,2,2,NA,FALSE,110,0,0,0.413886314165063,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",57,2,3,NA,FALSE,110,0,0,0.118692310871545,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",58,2,3,NA,FALSE,110,1,50,0.47724861120571,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",59,2,4,NA,FALSE,110,0,0,0.993522353662832,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",60,2,3,NA,FALSE,110,1,50,0.318891021993206,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",61,3,1,NA,FALSE,110,1,100,0.150125147649478,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",62,3,1,NA,FALSE,110,1,-250,0.627117033617866,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",63,3,2,NA,FALSE,110,1,100,0.505745338553294,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",64,3,2,NA,FALSE,110,1,100,0.226801307427398,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",65,3,3,NA,FALSE,110,0,0,0.221615784256801,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",66,3,2,NA,FALSE,110,1,100,1.13047775197793,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",67,3,3,NA,FALSE,110,1,50,0.178932372987126,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",68,3,4,NA,FALSE,110,1,50,0.305383720705136,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",69,3,4,NA,FALSE,110,1,50,0.334822376619584,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
