parameter,pr_mu,pr_sigma
con,-0.0111145142109573,0.984383868277317
wgt_pun,-0.0173481107628035,0.983156143057651
wgt_rew,0.00502362981912444,0.985292171839703
update,-0.145053955810694,0.978629399676078
