"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","epP","epN","K","w"
"1",38,2,NA,FALSE,10,4,0.14244346168125,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",39,2,NA,FALSE,10,4,0.129356414359063,0.61877673099516,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",40,2,NA,FALSE,10,3,0.100524048274383,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",41,3,NA,FALSE,10,3,0.110814536281396,0.0913716474547982,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",42,3,NA,FALSE,10,3,0.141641112719662,0.113391209498513,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",43,3,NA,FALSE,10,3,0.102698345854878,0.109554916562047,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",44,3,NA,FALSE,10,1,0.25,0.880793904850725,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",45,3,NA,FALSE,10,3,0.142635980073828,0.112951783894096,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",46,3,NA,FALSE,10,3,0.130536292854231,0.0726533713168465,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",47,3,NA,FALSE,10,4,0.149455063149799,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",48,3,NA,FALSE,10,4,0.117317509930581,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",49,3,NA,FALSE,10,4,0.105020299123134,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",50,3,NA,FALSE,10,4,0.108336622314528,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",51,3,NA,FALSE,10,4,0.101784653298091,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",52,3,NA,FALSE,10,4,0.114218828745652,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",53,3,NA,FALSE,10,4,0.137364034017082,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",54,3,NA,FALSE,10,4,0.106931222416461,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",55,3,NA,FALSE,10,4,0.146170453552622,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",56,3,NA,FALSE,10,4,0.11852788295364,0.610163187899161,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",57,3,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",58,3,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",59,3,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",60,3,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",61,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",62,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",63,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",64,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",65,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",66,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",67,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",68,4,NA,FALSE,10,2,0.25,3.12297476147069,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",69,4,NA,FALSE,10,2,0.25,3.12483757600421,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",70,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",71,4,NA,FALSE,10,2,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",72,4,NA,FALSE,10,3,0.109719421155751,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",73,4,NA,FALSE,10,3,0.135327556275297,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",74,4,NA,FALSE,10,3,0.148470944387373,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",75,4,NA,FALSE,10,3,0.103756352269556,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",76,4,NA,FALSE,10,3,0.137469811900519,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",77,4,NA,FALSE,10,3,0.133984125719871,0.100737011409365,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",78,4,NA,FALSE,10,3,0.136418568203226,0.108448735601269,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",79,4,NA,FALSE,10,3,0.105987199337687,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",80,4,NA,FALSE,10,3,0.136604098812677,0.152431050362065,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",81,5,NA,FALSE,10,1,0.25,0.612052695883904,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
"1",82,5,NA,FALSE,10,1,0.25,0,0.8843005,0.624308,0.9209215,0.2540855,3.168665,0.3119555,0.274796,0.4687195
