"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update"
"1",53,3,NA,FALSE,72,1,0.25,0.360455832781736,1.58662,0.7809945,0.00722153,0.00263468
"1",54,3,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",55,3,NA,FALSE,72,4,0.127380393084604,0,1.58662,0.7809945,0.00722153,0.00263468
"1",56,3,NA,FALSE,72,3,0.124380668543745,0,1.58662,0.7809945,0.00722153,0.00263468
"1",57,3,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",58,3,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",59,3,NA,FALSE,72,4,0.148303495929576,0,1.58662,0.7809945,0.00722153,0.00263468
"1",60,3,NA,FALSE,72,4,0.12071870137006,0,1.58662,0.7809945,0.00722153,0.00263468
"1",61,4,NA,FALSE,72,3,0.137301565601956,0,1.58662,0.7809945,0.00722153,0.00263468
"1",62,4,NA,FALSE,72,4,0.123821585869882,0.646607765334193,1.58662,0.7809945,0.00722153,0.00263468
"1",63,4,NA,FALSE,72,3,0.116669454576913,0,1.58662,0.7809945,0.00722153,0.00263468
"1",64,4,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",65,4,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",66,4,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",67,4,NA,FALSE,72,2,0.25,3.07492068671854,1.58662,0.7809945,0.00722153,0.00263468
"1",68,4,NA,FALSE,72,3,0.143463572312612,0,1.58662,0.7809945,0.00722153,0.00263468
"1",69,4,NA,FALSE,72,4,0.110222164134029,0,1.58662,0.7809945,0.00722153,0.00263468
"1",70,4,NA,FALSE,72,1,0.25,0.664007730863523,1.58662,0.7809945,0.00722153,0.00263468
"1",71,4,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",72,4,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",73,4,NA,FALSE,72,4,0.128070464264601,0,1.58662,0.7809945,0.00722153,0.00263468
"1",74,4,NA,FALSE,72,4,0.12851882588584,0,1.58662,0.7809945,0.00722153,0.00263468
"1",75,4,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",76,4,NA,FALSE,72,4,0.127199220529292,0,1.58662,0.7809945,0.00722153,0.00263468
"1",77,4,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",78,4,NA,FALSE,72,4,0.124106872058474,0,1.58662,0.7809945,0.00722153,0.00263468
"1",79,4,NA,FALSE,72,3,0.136163018993102,0.130522412364371,1.58662,0.7809945,0.00722153,0.00263468
"1",80,4,NA,FALSE,72,4,0.120414393802639,0,1.58662,0.7809945,0.00722153,0.00263468
"1",81,5,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",82,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",83,5,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",84,5,NA,FALSE,72,3,0.112090843811166,0.148079381720163,1.58662,0.7809945,0.00722153,0.00263468
"1",85,5,NA,FALSE,72,3,0.109216223459225,0,1.58662,0.7809945,0.00722153,0.00263468
"1",86,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",87,5,NA,FALSE,72,2,0.25,3.12891881627729,1.58662,0.7809945,0.00722153,0.00263468
"1",88,5,NA,FALSE,72,3,0.148022207792383,0,1.58662,0.7809945,0.00722153,0.00263468
"1",89,5,NA,FALSE,72,3,0.146507360797841,0,1.58662,0.7809945,0.00722153,0.00263468
"1",90,5,NA,FALSE,72,2,0.25,3.23629054275807,1.58662,0.7809945,0.00722153,0.00263468
"1",91,5,NA,FALSE,72,1,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",92,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",93,5,NA,FALSE,72,3,0.14470208089333,0,1.58662,0.7809945,0.00722153,0.00263468
"1",94,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",95,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",96,5,NA,FALSE,72,1,0.25,0.742296705767512,1.58662,0.7809945,0.00722153,0.00263468
"1",97,5,NA,FALSE,72,2,0.25,0,1.58662,0.7809945,0.00722153,0.00263468
"1",98,5,NA,FALSE,72,3,0.1132292471244,0,1.58662,0.7809945,0.00722153,0.00263468
"1",99,5,NA,FALSE,72,3,0.121918371214997,0,1.58662,0.7809945,0.00722153,0.00263468
"1",100,5,NA,FALSE,72,1,0.25,0.476890769577585,1.58662,0.7809945,0.00722153,0.00263468
"10",1,1,NA,FALSE,89,2,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",2,1,NA,FALSE,89,4,0.129263246967457,0,1.66033,0.7798745,0.00723021,0.004425435
"10",3,1,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
"10",4,1,NA,FALSE,89,1,0.25,0,1.66033,0.7798745,0.00723021,0.004425435
