"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"0001",1,1,NA,FALSE,33,2,0.25,3.13274246500805,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",2,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",3,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",4,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",5,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",6,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",7,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",8,1,NA,FALSE,33,2,0.25,3.09817779710284,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",9,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",10,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",11,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",12,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",13,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
"0001",14,1,NA,FALSE,33,2,0.25,0,1.23586,0.407932,2.15352,0.47123,1.24836,0.5340075,0.347726,0.216485,0.501161
