"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","wgt_rew","wgt_pun","update"
"0001",1,1,NA,FALSE,58,1,0.25,0.495026384340599,0.797132473589336,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",2,1,NA,FALSE,58,1,0.25,0.599735906452406,1.42639018007885,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",3,1,NA,FALSE,58,1,0.25,0.433753650810104,2.48439727495673,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",4,1,NA,FALSE,58,2,0.25,0,0.849894870257438,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",5,1,NA,FALSE,58,4,0.13205890780082,0.647661947261076,0.985915243010666,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",6,1,NA,FALSE,58,1,0.25,0.606014970934484,0.805593562459689,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",7,1,NA,FALSE,58,1,0.25,0,1.0885556996788,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",8,1,NA,FALSE,58,2,0.25,0,0.846750865677386,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",9,1,NA,FALSE,58,3,0.147414426354226,0,0.855160422663023,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",10,1,NA,FALSE,58,1,0.25,0.562073938257527,0.812665568592412,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",11,1,NA,FALSE,58,1,0.25,0,0.997988510997159,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",12,1,NA,FALSE,58,1,0.25,0.418627831840422,1.2419595278367,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",13,1,NA,FALSE,58,1,0.25,0,0.840973467432527,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",14,1,NA,FALSE,58,3,0.140243011049461,0,0.904672527122018,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
"0001",15,1,NA,FALSE,58,2,0.25,0,1.31543832901085,1.891635,1.8406,0.1333015,0.0804829,0.1517885,0.8413185,0.4138785,0.4435305,0.5942075
