"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w"
"0002",1,1,NA,FALSE,63,3,0.131526100030169,0.188203763216734,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",2,1,NA,FALSE,63,3,0.127130729390774,0.127818213810679,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",3,1,NA,FALSE,63,3,0.115291100530885,0.127787077100947,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",4,1,NA,FALSE,63,3,0.103967619198374,0.180495830927975,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",5,1,NA,FALSE,63,3,0.147813702223357,0.09467061747564,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",6,1,NA,FALSE,63,3,0.125402139232028,0.054823120101355,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",7,1,NA,FALSE,63,3,0.130372105794959,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",8,1,NA,FALSE,63,3,0.143445225036703,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",9,1,NA,FALSE,63,3,0.143963459681254,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",10,1,NA,FALSE,63,3,0.128107884165365,0.0529981182655319,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",11,1,NA,FALSE,63,3,0.139211692952085,0.150188040395733,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",12,1,NA,FALSE,63,3,0.125848053838126,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",13,1,NA,FALSE,63,3,0.12121526155388,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",14,1,NA,FALSE,63,3,0.146419561898801,0.074312144506257,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",15,1,NA,FALSE,63,3,0.144141349499114,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",16,1,NA,FALSE,63,3,0.114029078686144,0.121648020797875,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",17,1,NA,FALSE,63,3,0.109492498321924,0.161929333838634,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",18,1,NA,FALSE,63,3,0.104345361317974,0.0631251636776142,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",19,1,NA,FALSE,63,3,0.143949510611128,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",20,1,NA,FALSE,63,3,0.12190081801964,0.190836585534271,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",21,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",22,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",23,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",24,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",25,2,NA,FALSE,63,1,0.25,0.823149303719401,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",26,2,NA,FALSE,63,1,0.25,0.745201575104147,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",27,2,NA,FALSE,63,1,0.25,0.621174562850501,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",28,2,NA,FALSE,63,1,0.25,0.583607704145834,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",29,2,NA,FALSE,63,1,0.25,0.797021501651034,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",30,2,NA,FALSE,63,1,0.25,0.872041818057187,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",31,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",32,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",33,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",34,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",35,2,NA,FALSE,63,1,0.25,0.583585354767274,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",36,2,NA,FALSE,63,1,0.25,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",37,2,NA,FALSE,63,1,0.25,0.752468848822173,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",38,2,NA,FALSE,63,1,0.25,0.867852547182702,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",39,2,NA,FALSE,63,1,0.25,0.38098007744411,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",40,2,NA,FALSE,63,3,0.102553490141872,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",41,3,NA,FALSE,63,3,0.130153176863678,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",42,3,NA,FALSE,63,3,0.100955936894752,0.167862026148941,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",43,3,NA,FALSE,63,3,0.113371005724184,0.187779709254391,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",44,3,NA,FALSE,63,3,0.128175962122623,0.0525591630255803,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",45,3,NA,FALSE,63,3,0.11273791322019,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",46,3,NA,FALSE,63,3,0.124222896387801,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",47,3,NA,FALSE,63,3,0.121584178239573,0.198877165804151,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",48,3,NA,FALSE,63,3,0.11198197437916,0.178885863535106,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",49,3,NA,FALSE,63,3,0.111849278351292,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",50,3,NA,FALSE,63,3,0.106381457054522,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",51,3,NA,FALSE,63,3,0.130576837935951,0.0807483613840304,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",52,3,NA,FALSE,63,3,0.145375256531406,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",53,3,NA,FALSE,63,3,0.134748725988902,0.118795010563917,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",54,3,NA,FALSE,63,3,0.100417504622601,0,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
"0002",55,3,NA,FALSE,63,3,0.137372265616432,0.143163106613792,1.18367,0.4495345,2.571665,0.2998625,1.5348,0.159253,0.201551,0.1629175
