"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","Arew","Apun","K","betaF","betaP"
"1",1,1,NA,FALSE,87,4,0.130693536926992,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",2,1,NA,FALSE,87,4,0.129724433389492,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",3,1,NA,FALSE,87,4,0.133392290154006,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",4,1,NA,FALSE,87,4,0.139998548594303,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",5,1,NA,FALSE,87,4,0.121598603273742,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",6,1,NA,FALSE,87,4,0.131510671414435,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",7,1,NA,FALSE,87,4,0.11967828781344,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",8,1,NA,FALSE,87,4,0.1098052311223,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",9,1,NA,FALSE,87,4,0.14542673418764,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",10,1,NA,FALSE,87,4,0.122356043104082,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",11,1,NA,FALSE,87,4,0.144572892272845,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",12,1,NA,FALSE,87,4,0.124835074623115,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",13,1,NA,FALSE,87,4,0.104481929866597,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",14,1,NA,FALSE,87,4,0.133969173301011,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",15,1,NA,FALSE,87,4,0.118565971357748,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",16,1,NA,FALSE,87,4,0.140372911281884,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",17,1,NA,FALSE,87,4,0.133159625018016,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",18,1,NA,FALSE,87,4,0.117627700557932,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",19,1,NA,FALSE,87,4,0.113684865820687,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",20,1,NA,FALSE,87,4,0.13815990628209,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",21,2,NA,FALSE,87,4,0.148198809591122,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",22,2,NA,FALSE,87,4,0.126367477828171,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",23,2,NA,FALSE,87,4,0.136101916758344,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",24,2,NA,FALSE,87,4,0.143128769949544,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",25,2,NA,FALSE,87,4,0.10441164659569,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",26,2,NA,FALSE,87,4,0.12910877566319,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",27,2,NA,FALSE,87,4,0.111734541144688,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",28,2,NA,FALSE,87,4,0.121382185118273,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",29,2,NA,FALSE,87,4,0.121974712004885,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",30,2,NA,FALSE,87,4,0.141940128721762,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",31,2,NA,FALSE,87,4,0.105409034434706,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",32,2,NA,FALSE,87,4,0.104576767934486,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",33,2,NA,FALSE,87,4,0.135585625597741,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",34,2,NA,FALSE,87,4,0.125676205800846,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",35,2,NA,FALSE,87,4,0.138888928154483,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",36,2,NA,FALSE,87,4,0.121933053422254,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",37,2,NA,FALSE,87,4,0.11680493040476,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",38,2,NA,FALSE,87,4,0.135048887052108,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",39,2,NA,FALSE,87,4,0.115225894423202,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",40,2,NA,FALSE,87,4,0.142667394364253,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",41,3,NA,FALSE,87,4,0.115401560778264,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",42,3,NA,FALSE,87,4,0.120063570246566,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",43,3,NA,FALSE,87,4,0.137371115980204,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",44,3,NA,FALSE,87,4,0.125551147095393,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",45,3,NA,FALSE,87,4,0.115187464759219,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",46,3,NA,FALSE,87,4,0.112756563781295,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",47,3,NA,FALSE,87,4,0.149111764575355,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",48,3,NA,FALSE,87,4,0.122487071016803,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",49,3,NA,FALSE,87,4,0.141453340416774,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",50,3,NA,FALSE,87,4,0.126654029055499,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",51,3,NA,FALSE,87,4,0.117711586516816,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",52,3,NA,FALSE,87,4,0.124226925463881,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",53,3,NA,FALSE,87,4,0.107179245864972,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",54,3,NA,FALSE,87,4,0.127149615751114,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",55,3,NA,FALSE,87,4,0.14742546628695,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",56,3,NA,FALSE,87,4,0.136990484397393,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",57,3,NA,FALSE,87,4,0.1296940997825,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",58,3,NA,FALSE,87,4,0.116824807936791,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",59,3,NA,FALSE,87,4,0.131246841442771,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",60,3,NA,FALSE,87,4,0.140016387589276,0.629917161457706,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",61,4,NA,FALSE,87,4,0.112614013894927,0.634102126711514,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",62,4,NA,FALSE,87,4,0.112562507705297,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",63,4,NA,FALSE,87,4,0.118501888215542,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",64,4,NA,FALSE,87,4,0.130586977640633,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",65,4,NA,FALSE,87,4,0.133200055698398,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",66,4,NA,FALSE,87,4,0.138173744676169,0.600054936448578,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",67,4,NA,FALSE,87,4,0.146722213679459,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",68,4,NA,FALSE,87,4,0.148715268564411,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",69,4,NA,FALSE,87,4,0.138110688864253,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",70,4,NA,FALSE,87,4,0.125177653308492,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",71,4,NA,FALSE,87,4,0.128430671605747,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",72,4,NA,FALSE,87,4,0.143335644155741,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",73,4,NA,FALSE,87,4,0.113624577142764,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",74,4,NA,FALSE,87,4,0.144529183499981,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",75,4,NA,FALSE,87,4,0.143096943886485,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",76,4,NA,FALSE,87,4,0.131472498516087,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",77,4,NA,FALSE,87,4,0.108503997593652,0.624252166575752,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",78,4,NA,FALSE,87,3,0.106447103258688,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",79,4,NA,FALSE,87,3,0.104411380097736,0.176075111958198,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",80,4,NA,FALSE,87,4,0.148658683721442,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",81,5,NA,FALSE,87,4,0.122746708069462,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",82,5,NA,FALSE,87,4,0.116129223245662,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",83,5,NA,FALSE,87,4,0.142870977555867,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",84,5,NA,FALSE,87,4,0.133483393781353,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",85,5,NA,FALSE,87,4,0.106053934502415,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",86,5,NA,FALSE,87,4,0.129597821715288,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",87,5,NA,FALSE,87,4,0.10010733717354,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",88,5,NA,FALSE,87,4,0.135010562231764,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",89,5,NA,FALSE,87,4,0.149657568777911,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",90,5,NA,FALSE,87,4,0.110854220110923,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",91,5,NA,FALSE,87,4,0.129874569992535,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",92,5,NA,FALSE,87,4,0.13547059429111,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",93,5,NA,FALSE,87,4,0.139488140237518,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",94,5,NA,FALSE,87,4,0.126910917542409,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",95,5,NA,FALSE,87,4,0.122463733307086,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",96,5,NA,FALSE,87,4,0.104243277688511,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",97,5,NA,FALSE,87,4,0.129740217968356,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",98,5,NA,FALSE,87,4,0.119934641185682,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",99,5,NA,FALSE,87,4,0.14816764940042,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"1",100,5,NA,FALSE,87,4,0.118245699431282,0,0.9345585,0.4658065,0.215271,0.626827,1.984875,2.151785
"10",1,1,NA,FALSE,129,1,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",2,1,NA,FALSE,129,3,0.126823090796825,0.0551827450632117,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",3,1,NA,FALSE,129,1,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",4,1,NA,FALSE,129,1,0.25,0.804470163292717,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",5,1,NA,FALSE,129,1,0.25,0.452958916150965,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",6,1,NA,FALSE,129,1,0.25,0.460693164810073,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",7,1,NA,FALSE,129,3,0.107461930916179,0.149646140716504,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",8,1,NA,FALSE,129,3,0.105745846941136,0.100508507632185,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",9,1,NA,FALSE,129,4,0.129132604668848,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",10,1,NA,FALSE,129,4,0.116141617437825,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",11,1,NA,FALSE,129,4,0.106001887074672,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",12,1,NA,FALSE,129,3,0.139119558734819,0.196723688778002,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",13,1,NA,FALSE,129,3,0.115470749826636,0.0532629122259095,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",14,1,NA,FALSE,129,1,0.25,0.744882503012195,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",15,1,NA,FALSE,129,1,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",16,1,NA,FALSE,129,4,0.117899001308251,0.620359657541849,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",17,1,NA,FALSE,129,1,0.25,0.621713283436839,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",18,1,NA,FALSE,129,1,0.25,0.732805879472289,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",19,1,NA,FALSE,129,2,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",20,1,NA,FALSE,129,2,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",21,2,NA,FALSE,129,4,0.12788819243433,0.605948686343618,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",22,2,NA,FALSE,129,2,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",23,2,NA,FALSE,129,3,0.106428783072624,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",24,2,NA,FALSE,129,4,0.116125967097469,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",25,2,NA,FALSE,129,4,0.133143110037781,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",26,2,NA,FALSE,129,4,0.100506721576676,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",27,2,NA,FALSE,129,3,0.148710466711782,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",28,2,NA,FALSE,129,4,0.117715313192457,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",29,2,NA,FALSE,129,2,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",30,2,NA,FALSE,129,2,0.25,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",31,2,NA,FALSE,129,4,0.140739485190716,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",32,2,NA,FALSE,129,4,0.103532632428687,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",33,2,NA,FALSE,129,4,0.132757320406381,0,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
"10",34,2,NA,FALSE,129,1,0.25,0.409742949577048,0.787138,0.08588195,0.01940375,0.7285195,1.24232,0.8210585
