"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","epP","epN","K","w"
"0001",1,1,NA,FALSE,75,3,0.137580406339839,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",2,1,NA,FALSE,75,3,0.125971035368275,0.18437447095057,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",3,1,NA,FALSE,75,3,0.140712621633429,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",4,1,NA,FALSE,75,3,0.11497455611825,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",5,1,NA,FALSE,75,3,0.101768807321787,0.154656168213114,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",6,1,NA,FALSE,75,3,0.117739908257499,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",7,1,NA,FALSE,75,3,0.137921370076947,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",8,1,NA,FALSE,75,3,0.101474139362108,0.0822383357211947,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",9,1,NA,FALSE,75,3,0.112906693085097,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",10,1,NA,FALSE,75,3,0.139918694726657,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",11,1,NA,FALSE,75,3,0.110109561274294,0.11558862781385,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",12,1,NA,FALSE,75,4,0.104896150447894,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",13,1,NA,FALSE,75,4,0.136434464121703,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",14,1,NA,FALSE,75,3,0.135037778620608,0.152754528925288,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",15,1,NA,FALSE,75,3,0.104488996497821,0.140941971878055,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",16,1,NA,FALSE,75,3,0.140616742207203,0.114072920370381,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",17,1,NA,FALSE,75,3,0.12149852757575,0.139133756654337,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",18,1,NA,FALSE,75,3,0.122235398890916,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",19,1,NA,FALSE,75,3,0.10303558021551,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",20,1,NA,FALSE,75,3,0.12274416431319,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",21,2,NA,FALSE,75,3,0.106950178614352,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",22,2,NA,FALSE,75,3,0.117762317415327,0.113999578473158,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",23,2,NA,FALSE,75,3,0.106088849669322,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",24,2,NA,FALSE,75,3,0.100487593049183,0.130376576713752,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",25,2,NA,FALSE,75,3,0.126436040760018,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",26,2,NA,FALSE,75,3,0.119764431496151,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",27,2,NA,FALSE,75,3,0.126891648850869,0.127206514391582,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",28,2,NA,FALSE,75,3,0.13615387128666,0,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",29,2,NA,FALSE,75,3,0.123799067048822,0.105468218529131,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
"0001",30,2,NA,FALSE,75,3,0.140360504947603,0.0625529313227162,1.261215,0.4846735,2.67218,0.4550055,1.284085,0.5021895,0.335492,0.2254625
