"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"1",1,1,NA,FALSE,36,1,0.25,0.567128406825941,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",2,1,NA,FALSE,36,2,0.25,3.14415543054929,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",3,1,NA,FALSE,36,4,0.136205338244326,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",4,1,NA,FALSE,36,4,0.12509007799672,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",5,1,NA,FALSE,36,4,0.103754203591961,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",6,1,NA,FALSE,36,4,0.145225011452567,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",7,1,NA,FALSE,36,4,0.136945082247257,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",8,1,NA,FALSE,36,4,0.128350452810992,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",9,1,NA,FALSE,36,4,0.106593629298732,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",10,1,NA,FALSE,36,4,0.141617852682248,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",11,1,NA,FALSE,36,4,0.109675613814034,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",12,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",13,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",14,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",15,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",16,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",17,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",18,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",19,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",20,1,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",21,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",22,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",23,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",24,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",25,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",26,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",27,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",28,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",29,2,NA,FALSE,36,2,0.25,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
"1",30,2,NA,FALSE,36,4,0.109812953183427,0,1.085225,0.01034535,0.273718,0.7174255,1.546865,-1.614985,0.4287385,0.718755,0.674728
