"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","drift_A","drift_B","drift_C","drift_D"
"0001",1,1,NA,FALSE,19,3,0.143288775708061,0,0.931695518258929,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",2,1,NA,FALSE,19,2,0.25,0,1.00794022809657,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",3,1,NA,FALSE,19,2,0.25,0,0.854807998996132,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",4,1,NA,FALSE,19,4,0.139448692556471,0,1.03393370230835,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",5,1,NA,FALSE,19,2,0.25,0,0.460284932555859,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",6,1,NA,FALSE,19,3,0.124080930266064,0.19725830971729,0.432615325473145,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",7,1,NA,FALSE,19,2,0.25,0,1.11271650596387,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",8,1,NA,FALSE,19,4,0.118051643308718,0,1.26367234674439,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",9,1,NA,FALSE,19,2,0.25,3.19077793176984,1.21766653530871,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",10,1,NA,FALSE,19,4,0.142323216539808,0,2.49039767473804,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",11,1,NA,FALSE,19,4,0.134073062893003,0,3.0756491545104,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",12,1,NA,FALSE,19,1,0.25,0.896235741500277,1.33623890902305,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",13,1,NA,FALSE,19,2,0.25,0,1.13949419412315,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",14,1,NA,FALSE,19,2,0.25,0,2.66447266387188,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",15,1,NA,FALSE,19,2,0.25,0,1.00238433109685,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",16,1,NA,FALSE,19,2,0.25,0,1.24774901791513,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",17,1,NA,FALSE,19,2,0.25,3.13408028270351,0.797634952669639,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",18,1,NA,FALSE,19,4,0.146670168347191,0,0.649606828795408,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",19,1,NA,FALSE,19,2,0.25,0,0.514582680368548,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",20,1,NA,FALSE,19,2,0.25,0,0.715305838739235,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",21,2,NA,FALSE,19,2,0.25,0,1.07198430832574,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",22,2,NA,FALSE,19,3,0.12671629616525,0.147995541628916,0.751556639538534,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",23,2,NA,FALSE,19,4,0.133768948586658,0,2.15895148481381,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",24,2,NA,FALSE,19,3,0.128677783568855,0.0886605196166784,2.18578742866639,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",25,2,NA,FALSE,19,2,0.25,0,1.03086061042315,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",26,2,NA,FALSE,19,3,0.104726443253458,0,0.885505473550866,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
