"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","explore_alpha","explore_bonus"
"1",1,1,NA,FALSE,16,3,0.13295597092947,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",2,1,NA,FALSE,16,3,0.148131721944083,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",3,1,NA,FALSE,16,3,0.140914044505917,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",4,1,NA,FALSE,16,3,0.117111121001653,0.139546468539629,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",5,1,NA,FALSE,16,3,0.149840014392976,0.174571208714042,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",6,1,NA,FALSE,16,3,0.121109759621322,0.0786145579419099,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",7,1,NA,FALSE,16,3,0.107094788143877,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",8,1,NA,FALSE,16,3,0.108985071093775,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",9,1,NA,FALSE,16,3,0.125316617952194,0.142206757864915,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",10,1,NA,FALSE,16,3,0.113879706815351,0.174029522319324,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",11,1,NA,FALSE,16,3,0.128175410348922,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",12,1,NA,FALSE,16,3,0.142153980047442,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",13,1,NA,FALSE,16,3,0.108950567559805,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",14,1,NA,FALSE,16,3,0.1245405165595,0.196896229626145,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",15,1,NA,FALSE,16,3,0.10421316785505,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",16,1,NA,FALSE,16,3,0.128208162763622,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",17,1,NA,FALSE,16,3,0.146372813603375,0.0925611665705219,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",18,1,NA,FALSE,16,3,0.135293436609209,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",19,1,NA,FALSE,16,3,0.142331418662798,0.162052583682816,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",20,1,NA,FALSE,16,3,0.135380895063281,0.186458258109633,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",21,2,NA,FALSE,16,4,0.140798127138987,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",22,2,NA,FALSE,16,4,0.126401983667165,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",23,2,NA,FALSE,16,4,0.100893045135308,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",24,2,NA,FALSE,16,4,0.118552385282237,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",25,2,NA,FALSE,16,4,0.115476103895344,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",26,2,NA,FALSE,16,4,0.119897543836851,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",27,2,NA,FALSE,16,4,0.149604591412935,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",28,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",29,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",30,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",31,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",32,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",33,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",34,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",35,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",36,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",37,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",38,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",39,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",40,2,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",41,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",42,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",43,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",44,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",45,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",46,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",47,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",48,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",49,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",50,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",51,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",52,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",53,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",54,3,NA,FALSE,16,2,0.25,3.20236337056849,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",55,3,NA,FALSE,16,1,0.25,0.379580452141818,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",56,3,NA,FALSE,16,1,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",57,3,NA,FALSE,16,1,0.25,0.575735764019191,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",58,3,NA,FALSE,16,1,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",59,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",60,3,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",61,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",62,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",63,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",64,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",65,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",66,4,NA,FALSE,16,3,0.144037852424663,0.190493266971316,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",67,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",68,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",69,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",70,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",71,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",72,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",73,4,NA,FALSE,16,2,0.25,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",74,4,NA,FALSE,16,2,0.25,3.18917492229957,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",75,4,NA,FALSE,16,4,0.109537504659966,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",76,4,NA,FALSE,16,4,0.101889938360546,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",77,4,NA,FALSE,16,4,0.133490367035847,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",78,4,NA,FALSE,16,4,0.119338032905944,0.641524956235662,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",79,4,NA,FALSE,16,4,0.125265544676222,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",80,4,NA,FALSE,16,4,0.140819314529654,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",81,5,NA,FALSE,16,4,0.120671792654321,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",82,5,NA,FALSE,16,4,0.124495022883639,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",83,5,NA,FALSE,16,4,0.108953998680227,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",84,5,NA,FALSE,16,4,0.118013626581524,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",85,5,NA,FALSE,16,4,0.100282426574267,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",86,5,NA,FALSE,16,1,0.25,0.453011900570709,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",87,5,NA,FALSE,16,1,0.25,0.524487074126955,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",88,5,NA,FALSE,16,3,0.14019487692276,0.0962111886125058,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
"1",89,5,NA,FALSE,16,3,0.124254855886102,0,1.01766,0.266353,1.06026,0.3695,0.542762,-1.13684
