"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w"
"0001",1,1,NA,FALSE,48,2,0.25,0,1.36136172652604,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",2,1,NA,FALSE,48,1,0.25,0.749281637556851,0.699683557539957,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",3,1,NA,FALSE,48,4,0.136754499201197,0,1.05591361181561,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",4,1,NA,FALSE,48,1,0.25,0.59115982624935,1.4533107249365,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",5,1,NA,FALSE,48,4,0.126599320222158,0,0.677268259473801,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",6,1,NA,FALSE,48,3,0.113192630757112,0.14343837138731,1.58442546927772,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",7,1,NA,FALSE,48,1,0.25,0,0.906523818807109,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",8,1,NA,FALSE,48,1,0.25,0,0.641059140420902,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",9,1,NA,FALSE,48,3,0.104647373256739,0.191094038414303,0.777013254549717,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",10,1,NA,FALSE,48,2,0.25,0,0.677803783454108,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",11,1,NA,FALSE,48,4,0.137864148907829,0,2.41083181049671,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",12,1,NA,FALSE,48,1,0.25,0.806299444823526,0.842751524989359,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",13,1,NA,FALSE,48,3,0.114426373760216,0.17127612150507,1.54432639234871,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",14,1,NA,FALSE,48,1,0.25,0,0.704094992235986,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",15,1,NA,FALSE,48,2,0.25,0,0.515827822323557,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",16,1,NA,FALSE,48,1,0.25,0.635999518004246,0.977238456271135,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",17,1,NA,FALSE,48,1,0.25,0,1.5512416827721,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",18,1,NA,FALSE,48,1,0.25,0.881933554122225,1.27884134706872,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",19,1,NA,FALSE,48,2,0.25,0,0.843531684715651,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",20,1,NA,FALSE,48,1,0.25,0,1.58985303659905,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
"0001",21,2,NA,FALSE,48,1,0.25,0.772136122803204,1.25336000260918,1.87048,1.867,0.1339165,0.07967505,0.148878,0.5428,0.2991625,2.633705,0.3874485,-0.4009375,-0.6070175,0.464778,0.373953
