"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"1",1,1,NA,FALSE,83,3,0.11304979698034,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",2,1,NA,FALSE,83,3,0.108134701347444,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",3,1,NA,FALSE,83,3,0.106682798662223,0.0942337110871449,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",4,1,NA,FALSE,83,3,0.125322177552152,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",5,1,NA,FALSE,83,3,0.144387503596954,0.188893008371815,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",6,1,NA,FALSE,83,4,0.117002815753222,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",7,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",8,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",9,1,NA,FALSE,83,4,0.137286223901901,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",10,1,NA,FALSE,83,4,0.147971884487197,0.622417797881644,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",11,1,NA,FALSE,83,3,0.139537664002273,0.166268552734982,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",12,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",13,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",14,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",15,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",16,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",17,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",18,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",19,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",20,1,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",21,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",22,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",23,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",24,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",25,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",26,2,NA,FALSE,83,2,0.25,3.0763036867138,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",27,2,NA,FALSE,83,1,0.25,0.89539822380757,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",28,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",29,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",30,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",31,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",32,2,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
