"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","wgt_rew","wgt_pun","update","cohort"
"0004",47,3,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",48,3,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",49,3,NA,FALSE,15,1,0.25,0.368614967679605,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",50,3,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",51,3,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",52,3,NA,FALSE,15,2,0.25,3.05166634573834,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",53,3,NA,FALSE,15,4,0.139643063978292,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",54,3,NA,FALSE,15,4,0.11447014923906,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",55,3,NA,FALSE,15,3,0.138127798668575,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",56,3,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",57,3,NA,FALSE,15,1,0.25,0.552388166659512,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",58,3,NA,FALSE,15,4,0.112963050149847,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",59,3,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",60,3,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",61,4,NA,FALSE,15,3,0.142716692830436,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",62,4,NA,FALSE,15,3,0.101155538542662,0.189982380229048,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",63,4,NA,FALSE,15,1,0.25,0.535085999430157,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",64,4,NA,FALSE,15,4,0.123173875687644,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",65,4,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",66,4,NA,FALSE,15,3,0.122171802748926,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",67,4,NA,FALSE,15,4,0.104614525847137,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",68,4,NA,FALSE,15,3,0.147333514958154,0.0852937182411551,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",69,4,NA,FALSE,15,1,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",70,4,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",71,4,NA,FALSE,15,4,0.116087054996751,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",72,4,NA,FALSE,15,4,0.106339556630701,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",73,4,NA,FALSE,15,3,0.13602715380257,0.115484205959365,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",74,4,NA,FALSE,15,1,0.25,0.704382925550453,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",75,4,NA,FALSE,15,3,0.121572254959028,0.169922988023609,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",76,4,NA,FALSE,15,4,0.130428454023786,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",77,4,NA,FALSE,15,1,0.25,0.528159200714435,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",78,4,NA,FALSE,15,2,0.25,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
"0004",79,4,NA,FALSE,15,4,0.106007763405796,0,0.6695995,0.4868715,0.290261,0.3953345,"luc"
