"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay"
"1",55,3,NA,FALSE,53,3,0.103826066770125,0.168382911733352,1.455615,0.0493208,0.5789555,0.8065935
"1",56,3,NA,FALSE,53,3,0.109362833027262,0,1.455615,0.0493208,0.5789555,0.8065935
"1",57,3,NA,FALSE,53,3,0.14881557013141,0,1.455615,0.0493208,0.5789555,0.8065935
"1",58,3,NA,FALSE,53,3,0.149314391042571,0.12975541157648,1.455615,0.0493208,0.5789555,0.8065935
"1",59,3,NA,FALSE,53,3,0.132211328740232,0.0718922844505869,1.455615,0.0493208,0.5789555,0.8065935
"1",60,3,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",61,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",62,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",63,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",64,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",65,4,NA,FALSE,53,2,0.25,3.00856549001765,1.455615,0.0493208,0.5789555,0.8065935
"1",66,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",67,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",68,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",69,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",70,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",71,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",72,4,NA,FALSE,53,2,0.25,3.20753460924607,1.455615,0.0493208,0.5789555,0.8065935
"1",73,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",74,4,NA,FALSE,53,2,0.25,3.12867233372526,1.455615,0.0493208,0.5789555,0.8065935
"1",75,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",76,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",77,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",78,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",79,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",80,4,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",81,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",82,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",83,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",84,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",85,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",86,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",87,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",88,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",89,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",90,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
"1",91,5,NA,FALSE,53,2,0.25,0,1.455615,0.0493208,0.5789555,0.8065935
