"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay"
"0001",1,1,NA,FALSE,17,1,0.25,0.725157922052313,2.42973,1.32147,0.4620905,0.595554
"0001",2,1,NA,FALSE,17,1,0.25,0.394956397009082,2.42973,1.32147,0.4620905,0.595554
"0001",3,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",4,1,NA,FALSE,17,1,0.25,0.463665960624348,2.42973,1.32147,0.4620905,0.595554
"0001",5,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",6,1,NA,FALSE,17,1,0.25,0.740828358370345,2.42973,1.32147,0.4620905,0.595554
"0001",7,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",8,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",9,1,NA,FALSE,17,1,0.25,0.727637835359201,2.42973,1.32147,0.4620905,0.595554
"0001",10,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",11,1,NA,FALSE,17,1,0.25,0.753939178411383,2.42973,1.32147,0.4620905,0.595554
"0001",12,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",13,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",14,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",15,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",16,1,NA,FALSE,17,1,0.25,0.863268727506511,2.42973,1.32147,0.4620905,0.595554
"0001",17,1,NA,FALSE,17,1,0.25,0.535085999430157,2.42973,1.32147,0.4620905,0.595554
"0001",18,1,NA,FALSE,17,1,0.25,0.530360601248685,2.42973,1.32147,0.4620905,0.595554
"0001",19,1,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",20,1,NA,FALSE,17,1,0.25,0.365943256579339,2.42973,1.32147,0.4620905,0.595554
"0001",21,2,NA,FALSE,17,1,0.25,0.644461334997322,2.42973,1.32147,0.4620905,0.595554
"0001",22,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",23,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",24,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",25,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",26,2,NA,FALSE,17,1,0.25,0.467723845038563,2.42973,1.32147,0.4620905,0.595554
"0001",27,2,NA,FALSE,17,1,0.25,0.368707861145958,2.42973,1.32147,0.4620905,0.595554
"0001",28,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",29,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",30,2,NA,FALSE,17,1,0.25,0.704382925550453,2.42973,1.32147,0.4620905,0.595554
"0001",31,2,NA,FALSE,17,1,0.25,0.873593353619799,2.42973,1.32147,0.4620905,0.595554
"0001",32,2,NA,FALSE,17,1,0.25,0.565287005738355,2.42973,1.32147,0.4620905,0.595554
"0001",33,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",34,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",35,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",36,2,NA,FALSE,17,1,0.25,0.385852342110593,2.42973,1.32147,0.4620905,0.595554
"0001",37,2,NA,FALSE,17,1,0.25,0.744420879438985,2.42973,1.32147,0.4620905,0.595554
"0001",38,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",39,2,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",40,2,NA,FALSE,17,1,0.25,0.723898923408706,2.42973,1.32147,0.4620905,0.595554
"0001",41,3,NA,FALSE,17,1,0.25,0.667949751997367,2.42973,1.32147,0.4620905,0.595554
"0001",42,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",43,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",44,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",45,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",46,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",47,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",48,3,NA,FALSE,17,1,0.25,0,2.42973,1.32147,0.4620905,0.595554
"0001",49,3,NA,FALSE,17,1,0.25,0.493233228288591,2.42973,1.32147,0.4620905,0.595554
