"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w"
"1",1,1,NA,FALSE,23,3,0.123937440384179,0.0718058960163034,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",2,1,NA,FALSE,23,3,0.102460468572099,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",3,1,NA,FALSE,23,3,0.148754748585634,0.180540857987944,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",4,1,NA,FALSE,23,3,0.128264196380042,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",5,1,NA,FALSE,23,3,0.14326553902356,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",6,1,NA,FALSE,23,3,0.125707229075488,0.0635355562204495,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",7,1,NA,FALSE,23,3,0.127658783469815,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",8,1,NA,FALSE,23,3,0.148936218442395,0.162743666709866,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",9,1,NA,FALSE,23,3,0.104758383182343,0.164647675631568,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",10,1,NA,FALSE,23,4,0.103980057232548,0.638669838081114,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",11,1,NA,FALSE,23,4,0.131447021709755,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",12,1,NA,FALSE,23,1,0.25,0,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
"1",13,1,NA,FALSE,23,1,0.25,0.883266450278461,1.9261,0.774191,2.26844,0.01150935,2.45398,0.197346,0.2905,0.829541
