"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update"
"1",1,1,NA,FALSE,20,4,0.125237606070004,0,1.39693,0.103154,0.7660765,0.967506
"1",2,1,NA,FALSE,20,4,0.113441515492741,0,1.39693,0.103154,0.7660765,0.967506
"1",3,1,NA,FALSE,20,4,0.124331476225052,0,1.39693,0.103154,0.7660765,0.967506
"1",4,1,NA,FALSE,20,4,0.130786158132833,0,1.39693,0.103154,0.7660765,0.967506
"1",5,1,NA,FALSE,20,3,0.142897602473386,0,1.39693,0.103154,0.7660765,0.967506
"1",6,1,NA,FALSE,20,3,0.145051936863456,0.178965586540289,1.39693,0.103154,0.7660765,0.967506
"1",7,1,NA,FALSE,20,4,0.122200049436651,0,1.39693,0.103154,0.7660765,0.967506
"1",8,1,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",9,1,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",10,1,NA,FALSE,20,4,0.149469273840077,0,1.39693,0.103154,0.7660765,0.967506
"1",11,1,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",12,1,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",13,1,NA,FALSE,20,4,0.107557168113999,0,1.39693,0.103154,0.7660765,0.967506
"1",14,1,NA,FALSE,20,1,0.25,0.859436937712599,1.39693,0.103154,0.7660765,0.967506
"1",15,1,NA,FALSE,20,3,0.133776869473513,0.0705222096061334,1.39693,0.103154,0.7660765,0.967506
"1",16,1,NA,FALSE,20,3,0.113448908797,0,1.39693,0.103154,0.7660765,0.967506
"1",17,1,NA,FALSE,20,4,0.131624768290203,0,1.39693,0.103154,0.7660765,0.967506
"1",18,1,NA,FALSE,20,3,0.127880456799176,0.171042698249221,1.39693,0.103154,0.7660765,0.967506
"1",19,1,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",20,1,NA,FALSE,20,4,0.146822033880744,0,1.39693,0.103154,0.7660765,0.967506
"1",21,2,NA,FALSE,20,2,0.25,3.12459431838943,1.39693,0.103154,0.7660765,0.967506
"1",22,2,NA,FALSE,20,4,0.141837278963067,0.61374786074739,1.39693,0.103154,0.7660765,0.967506
"1",23,2,NA,FALSE,20,3,0.113154941948596,0,1.39693,0.103154,0.7660765,0.967506
"1",24,2,NA,FALSE,20,3,0.104675855278037,0.100300266093109,1.39693,0.103154,0.7660765,0.967506
"1",25,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",26,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",27,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
"1",28,2,NA,FALSE,20,2,0.25,0,1.39693,0.103154,0.7660765,0.967506
