"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","decay"
"1",1,1,NA,FALSE,78,1,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",2,1,NA,FALSE,78,1,0.25,0.435179354762658,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",3,1,NA,FALSE,78,3,0.116000987950247,0.111671684274916,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",4,1,NA,FALSE,78,3,0.109192608704325,0.189078605326358,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",5,1,NA,FALSE,78,4,0.12667064772686,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",6,1,NA,FALSE,78,4,0.119004771788605,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",7,1,NA,FALSE,78,4,0.141219808429014,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",8,1,NA,FALSE,78,4,0.147313557285815,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",9,1,NA,FALSE,78,4,0.10126985644456,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",10,1,NA,FALSE,78,1,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",11,1,NA,FALSE,78,1,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",12,1,NA,FALSE,78,1,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",13,1,NA,FALSE,78,1,0.25,0.893411230912898,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",14,1,NA,FALSE,78,4,0.128750330256298,0.623575046390761,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",15,1,NA,FALSE,78,4,0.125427213718649,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",16,1,NA,FALSE,78,4,0.105872411723249,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",17,1,NA,FALSE,78,4,0.101241716486402,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",18,1,NA,FALSE,78,4,0.143321132729761,0.626777434966061,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",19,1,NA,FALSE,78,4,0.116576137277298,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",20,1,NA,FALSE,78,4,0.118994313071016,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",21,2,NA,FALSE,78,4,0.131981949368492,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",22,2,NA,FALSE,78,4,0.124189140030649,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",23,2,NA,FALSE,78,4,0.125401374604553,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",24,2,NA,FALSE,78,4,0.104700727923773,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",25,2,NA,FALSE,78,4,0.125013843434863,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",26,2,NA,FALSE,78,4,0.114211666677147,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",27,2,NA,FALSE,78,4,0.100384222634602,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",28,2,NA,FALSE,78,4,0.121511513460428,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",29,2,NA,FALSE,78,4,0.119929773290642,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",30,2,NA,FALSE,78,4,0.147894922259729,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",31,2,NA,FALSE,78,4,0.145743731351104,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",32,2,NA,FALSE,78,4,0.109170015202835,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",33,2,NA,FALSE,78,4,0.109740481944755,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",34,2,NA,FALSE,78,4,0.124343822652008,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",35,2,NA,FALSE,78,4,0.120082539971918,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",36,2,NA,FALSE,78,4,0.143383219547104,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",37,2,NA,FALSE,78,4,0.105600352527108,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",38,2,NA,FALSE,78,4,0.136630941391923,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",39,2,NA,FALSE,78,4,0.100660287565552,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",40,2,NA,FALSE,78,4,0.124437720363494,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",41,3,NA,FALSE,78,4,0.108911278482992,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",42,3,NA,FALSE,78,4,0.13803200625116,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",43,3,NA,FALSE,78,4,0.140804554044735,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",44,3,NA,FALSE,78,4,0.121389294520486,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",45,3,NA,FALSE,78,4,0.124772957887035,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",46,3,NA,FALSE,78,4,0.145987785642501,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",47,3,NA,FALSE,78,4,0.101069502264727,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",48,3,NA,FALSE,78,4,0.138324335881043,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",49,3,NA,FALSE,78,4,0.117492392496206,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",50,3,NA,FALSE,78,4,0.127560115186498,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",51,3,NA,FALSE,78,4,0.145417359669227,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",52,3,NA,FALSE,78,4,0.129571307078004,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",53,3,NA,FALSE,78,4,0.125327699247282,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",54,3,NA,FALSE,78,4,0.134851372614503,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",55,3,NA,FALSE,78,4,0.119284889020491,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",56,3,NA,FALSE,78,4,0.10658159526065,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",57,3,NA,FALSE,78,4,0.145192125067115,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",58,3,NA,FALSE,78,4,0.117754698439967,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",59,3,NA,FALSE,78,4,0.111373595811892,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",60,3,NA,FALSE,78,4,0.122230376908556,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",61,4,NA,FALSE,78,4,0.116620349592995,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",62,4,NA,FALSE,78,4,0.112539192917757,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",63,4,NA,FALSE,78,4,0.132506678684149,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",64,4,NA,FALSE,78,4,0.137011897750199,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",65,4,NA,FALSE,78,4,0.143543561850674,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",66,4,NA,FALSE,78,4,0.124053571210243,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",67,4,NA,FALSE,78,4,0.11127252089791,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",68,4,NA,FALSE,78,2,0.25,3.04371306067333,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",69,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",70,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",71,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",72,4,NA,FALSE,78,2,0.25,3.03641593555221,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",73,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",74,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",75,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",76,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",77,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",78,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",79,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",80,4,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",81,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",82,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",83,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",84,5,NA,FALSE,78,2,0.25,3.0603806618019,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",85,5,NA,FALSE,78,2,0.25,3.14738940406824,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",86,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",87,5,NA,FALSE,78,2,0.25,3.1260210959008,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",88,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",89,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",90,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",91,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",92,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",93,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",94,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",95,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",96,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",97,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",98,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",99,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"1",100,5,NA,FALSE,78,2,0.25,0,1.14407,0.01923625,0.526036,0.829761,0.7329025
"10",1,1,NA,FALSE,52,3,0.112012693472207,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",2,1,NA,FALSE,52,1,0.25,0.377665134589188,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",3,1,NA,FALSE,52,1,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",4,1,NA,FALSE,52,3,0.14952015747549,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",5,1,NA,FALSE,52,1,0.25,0.869030637713149,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",6,1,NA,FALSE,52,1,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",7,1,NA,FALSE,52,3,0.127329772966914,0.127203400235157,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",8,1,NA,FALSE,52,1,0.25,0.476501421036664,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",9,1,NA,FALSE,52,3,0.12481697362382,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",10,1,NA,FALSE,52,4,0.142791882867459,0.640588831831701,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",11,1,NA,FALSE,52,2,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",12,1,NA,FALSE,52,3,0.119360914593562,0.0529200349701568,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",13,1,NA,FALSE,52,4,0.130797775636893,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",14,1,NA,FALSE,52,3,0.11557483804645,0.145589057239704,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",15,1,NA,FALSE,52,4,0.111788010108285,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",16,1,NA,FALSE,52,4,0.114173706038855,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",17,1,NA,FALSE,52,4,0.118243017140776,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",18,1,NA,FALSE,52,1,0.25,0.800244274944998,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",19,1,NA,FALSE,52,1,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",20,1,NA,FALSE,52,1,0.25,0.802311845438089,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",21,2,NA,FALSE,52,1,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",22,2,NA,FALSE,52,1,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",23,2,NA,FALSE,52,4,0.117537450639065,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",24,2,NA,FALSE,52,2,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",25,2,NA,FALSE,52,4,0.100605709210504,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",26,2,NA,FALSE,52,2,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",27,2,NA,FALSE,52,2,0.25,3.09560156054795,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",28,2,NA,FALSE,52,2,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",29,2,NA,FALSE,52,4,0.108343544683885,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
"10",30,2,NA,FALSE,52,2,0.25,0,0.3730355,0.0495384,0.08801165,0.0301003,0.35324
