"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update"
"200001",38,1,2,NA,FALSE,134,1,100,0.265454885404966,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",39,1,3,NA,FALSE,134,0,0,1.00582294209893,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",40,1,4,NA,FALSE,134,1,50,0.260045555413625,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",41,2,2,NA,FALSE,134,0,0,1.20783004674361,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",42,2,3,NA,FALSE,134,1,-25,0.436097513195013,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",43,2,3,NA,FALSE,134,1,50,0.176054219122789,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",44,2,1,NA,FALSE,134,1,100,0.303999317258521,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",45,2,1,NA,FALSE,134,1,-250,0.409121308561348,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",46,2,1,NA,FALSE,134,0,0,1.08540798550406,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",47,2,2,NA,FALSE,134,0,0,0.493602867356878,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",48,2,3,NA,FALSE,134,0,0,0.389965697306124,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",49,2,4,NA,FALSE,134,0,0,0.24354694583582,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",50,2,4,NA,FALSE,134,1,50,0.36038101015806,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",51,2,4,NA,FALSE,134,1,50,0.394149089442285,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",52,2,1,NA,FALSE,134,0,0,0.344974398995655,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",53,2,4,NA,FALSE,134,1,50,0.461173780514468,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",54,2,4,NA,FALSE,134,1,-200,0.497830540283792,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",55,2,2,NA,FALSE,134,1,-1150,0.476402843860355,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",56,2,4,NA,FALSE,134,1,50,0.466892739065529,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",57,2,1,NA,FALSE,134,1,100,0.61375417356664,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",58,2,3,NA,FALSE,134,1,50,0.46395619246295,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",59,2,4,NA,FALSE,134,1,50,0.224976139475803,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",60,2,3,NA,FALSE,134,0,0,0.206774327676316,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",61,3,4,NA,FALSE,134,1,50,0.63447156340493,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",62,3,4,NA,FALSE,134,1,50,0.278589985484539,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",63,3,2,NA,FALSE,134,1,100,0.329980826703266,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",64,3,2,NA,FALSE,134,1,100,0.313366665015231,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",65,3,1,NA,FALSE,134,1,-250,0.441223300878859,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",66,3,2,NA,FALSE,134,1,100,0.331560899757535,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",67,3,2,NA,FALSE,134,1,100,0.231829539670974,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",68,3,3,NA,FALSE,134,1,50,0.395862594687421,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",69,3,2,NA,FALSE,134,1,100,0.617812796992921,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",70,3,2,NA,FALSE,134,1,100,0.887984198513209,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",71,3,3,NA,FALSE,134,1,50,0.212939417729102,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",72,3,2,NA,FALSE,134,1,-1150,0.222164130228513,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",73,3,1,NA,FALSE,134,1,100,1.11077269912804,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",74,3,1,NA,FALSE,134,0,0,0.315753474015135,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",75,3,1,NA,FALSE,134,0,0,0.961457606731539,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",76,3,4,NA,FALSE,134,1,50,0.507686260420307,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",77,3,2,NA,FALSE,134,1,100,0.930211412317424,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",78,3,2,NA,FALSE,134,1,100,0.309731631853533,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",79,3,1,NA,FALSE,134,1,-250,0.964037667644362,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",80,3,1,NA,FALSE,134,1,100,0.871206438128837,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",81,4,3,NA,FALSE,134,1,50,0.220421565799123,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",82,4,3,NA,FALSE,134,1,50,0.56793003316463,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",83,4,3,NA,FALSE,134,0,0,0.729451462889852,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",84,4,3,NA,FALSE,134,0,0,0.465542744604172,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",85,4,3,NA,FALSE,134,0,0,0.242854637561131,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",86,4,3,NA,FALSE,134,0,0,0.237133629335315,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",87,4,1,NA,FALSE,134,1,100,0.251411297973867,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",88,4,1,NA,FALSE,134,1,-250,1.03147225201165,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",89,4,1,NA,FALSE,134,1,-250,0.449881036308,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",90,4,4,NA,FALSE,134,1,50,0.282463968846645,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",91,4,4,NA,FALSE,134,0,0,0.24030624840435,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",92,4,3,NA,FALSE,134,1,-25,0.488185147776279,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",93,4,3,NA,FALSE,134,1,50,0.286165856467846,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
"200001",94,4,3,NA,FALSE,134,1,50,0.278954244722552,1.28943,0.132003,0.498365,-0.712238,3.60975,1.76984,0.181027,0.0712755
