"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update","decay"
"200952",1,0,4,1,TRUE,176,1,50,0.256389602877611,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",2,0,3,0,TRUE,176,0,0,0.40770152534855,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",3,0,2,1,TRUE,176,1,100,0.480319825309627,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",4,0,3,1,TRUE,176,1,50,1.24962411108101,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",5,0,3,0,TRUE,176,0,0,0.414716479248486,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",6,0,2,1,TRUE,176,1,100,1.28045252753482,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",7,0,2,0,TRUE,176,0,0,0.41820054630817,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",8,0,4,1,TRUE,176,1,50,2.21015113899779,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",9,0,2,0,TRUE,176,0,0,1.19094458100574,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",10,0,1,1,TRUE,176,1,100,0.560090717524225,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",11,0,4,1,TRUE,176,1,50,0.505113438911638,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",12,0,1,0,TRUE,176,0,0,0.4726550743676,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",13,0,4,1,TRUE,176,1,50,0.67644173697609,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",14,0,3,1,TRUE,176,1,50,2.16980388215989,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",15,0,2,0,TRUE,176,0,0,0.474810107860325,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",16,0,4,1,TRUE,176,1,50,1.21808265152224,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",17,0,3,1,TRUE,176,1,50,1.89835431027415,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",18,0,1,1,TRUE,176,1,100,2.63463383076211,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
