"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","retend"
"200004",1,0,4,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",2,0,3,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",3,0,2,1,TRUE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",4,0,3,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",5,0,3,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",6,0,2,1,TRUE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",7,0,2,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",8,0,4,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",9,0,2,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",10,0,1,1,TRUE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",11,0,4,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",12,0,1,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",13,0,4,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",14,0,3,1,TRUE,87,1,0,0.210888,0.5775975,-0.350452,0.926235
"200004",15,0,2,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",16,0,4,1,TRUE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",17,0,3,1,TRUE,87,1,-25,0.210888,0.5775975,-0.350452,0.926235
"200004",18,0,1,1,TRUE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",19,0,1,1,TRUE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",20,0,1,0,TRUE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",21,1,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",22,1,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",23,1,1,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",24,1,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",25,1,3,NA,FALSE,87,1,0,0.210888,0.5775975,-0.350452,0.926235
"200004",26,1,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
