"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update"
"200001",1,0,4,1,TRUE,90,1,50,0.272089960679868,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",2,0,3,0,TRUE,90,0,0,0.460970997779888,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",3,0,2,1,TRUE,90,1,100,0.299971645224514,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",4,0,3,1,TRUE,90,1,50,0.634913331963222,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",5,0,3,0,TRUE,90,0,0,0.478527195709134,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",6,0,2,1,TRUE,90,1,100,0.324489157510495,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",7,0,2,0,TRUE,90,0,0,0.319763159848611,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",8,0,4,1,TRUE,90,1,50,0.196728083634654,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",9,0,2,0,TRUE,90,0,0,0.649414583573341,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",10,0,1,1,TRUE,90,1,-250,0.477085943223635,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",11,0,4,1,TRUE,90,1,50,0.177261970010315,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",12,0,1,0,TRUE,90,0,0,0.261550312934794,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",13,0,4,1,TRUE,90,1,50,0.327951580251045,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",14,0,3,1,TRUE,90,1,0,0.892549466258033,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",15,0,2,0,TRUE,90,0,0,0.201404119431341,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",16,0,4,1,TRUE,90,1,50,0.385589544871284,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",17,0,3,1,TRUE,90,1,0,0.567197167025489,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",18,0,1,1,TRUE,90,1,100,0.199227703141566,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",19,0,1,1,TRUE,90,1,-250,0.503175981060274,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",20,0,1,0,TRUE,90,0,0,0.52202129129666,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",21,1,1,NA,FALSE,90,1,-250,0.289728457076523,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",22,1,1,NA,FALSE,90,0,0,0.628837455236144,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",23,1,3,NA,FALSE,90,1,-25,0.224696855920459,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",24,1,2,NA,FALSE,90,1,100,0.268321436686079,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",25,1,3,NA,FALSE,90,0,0,0.451344345836996,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
"200001",26,1,3,NA,FALSE,90,0,0,0.718597029644543,1.28742,0.133005,0.5174535,-0.375151,0.2431155,0.7581935,0.1285695
