"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","update","decay"
"200004",1,0,4,1,TRUE,109,1,50,0.220162802524418,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",2,0,3,0,TRUE,109,0,0,0.658848088234655,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",3,0,2,1,TRUE,109,1,100,0.179778561113872,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",4,0,3,1,TRUE,109,1,50,0.188763850579564,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",5,0,3,0,TRUE,109,0,0,0.417667099950961,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",6,0,2,1,TRUE,109,1,100,0.576239115208156,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",7,0,2,0,TRUE,109,0,0,0.151550419903057,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",8,0,4,1,TRUE,109,1,50,0.306411741442792,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",9,0,2,0,TRUE,109,0,0,0.20158641539406,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",10,0,1,1,TRUE,109,1,-250,0.213612222098922,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",11,0,4,1,TRUE,109,1,50,0.174827600612874,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",12,0,1,0,TRUE,109,0,0,0.880122001803418,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",13,0,4,1,TRUE,109,1,-200,0.199043818922241,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
"200004",14,0,3,1,TRUE,109,1,0,1.32715843278246,1.58553,0.115128,0.7138625,0.1836065,1.150645,1.082635,0.5763185,0.1421665
