"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.55585,0.283838154570434,0,0.99,16,0.08,"RL"
"rl_good_deck_ratio",0.5357,0.283480716421619,0.01,1,13,0.065,"RL"
"rl_lose_shift_ratio",0.6259,0.232994899333822,0.08,1,19,0.095,"RL"
"rl_new_bad_deck_ratio",0.47175,0.272026523795459,0,0.99,21,0.105,"RL"
"rl_new_good_deck_ratio",0.53855,0.27311233814354,0.01,1,21,0.105,"RL"
"rl_skip_ratio",0.6369,0.274263545631408,0,1,20,0.1,"RL"
"rl_total_money",0.5616,0.288470999561377,0,0.99,21,0.105,"RL"
"rl_win_stay_ratio",0.45715,0.281043242260156,0,1,21,0.105,"RL"
