"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.5286,0.273330547029962,0.01,1,14,0.07,"RL"
"rl_good_deck_ratio",0.5635,0.284125653425863,0,1,19,0.095,"RL"
"rl_lose_shift_ratio",0.4968,0.273635050210161,0.02,0.99,11,0.055,"RL"
"rl_new_bad_deck_ratio",0.4145,0.276064863836791,0,1,21,0.105,"RL"
"rl_new_good_deck_ratio",0.60035,0.270355019711891,0,1,21,0.105,"RL"
"rl_skip_ratio",0.5461,0.22785605524003,0,1,6,0.03,"RL"
"rl_total_money",0.52785,0.274893999671285,0,1,11,0.055,"RL"
"rl_win_stay_ratio",0.51585,0.291918412054605,0,1,21,0.105,"RL"
