"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.50175,0.274219655746976,0,0.99,12,0.06,"RL"
"rl_good_deck_ratio",0.53535,0.277178674482615,0,1,15,0.075,"RL"
"rl_lose_shift_ratio",0.5832,0.255159345228205,0.01,1,11,0.055,"RL"
"rl_new_bad_deck_ratio",0.472,0.280199139522135,0,1,12,0.06,"RL"
"rl_new_good_deck_ratio",0.5397,0.280487569032764,0,1,12,0.06,"RL"
"rl_skip_ratio",0.6473,0.282936344209032,0.04,1,20,0.1,"RL"
"rl_total_money",0.5044,0.279197773961263,0,0.99,12,0.06,"RL"
"rl_win_stay_ratio",0.4858,0.275389828768139,0,0.99,19,0.095,"RL"
