"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.53815,0.274030181186316,0,1,17,0.085,"RL"
"rl_good_deck_ratio",0.5926,0.317156398176866,0,1,41,0.205,"RL"
"rl_lose_shift_ratio",0.521658585858586,0.271192655746223,0.01,0.99,14,0.07,"RL"
"rl_new_bad_deck_ratio",0.3749,0.320682359788307,0,1,48,0.24,"RL"
"rl_new_good_deck_ratio",0.66075,0.29823085978591,0,1,44,0.22,"RL"
"rl_skip_ratio",0.6928,0.281228746824006,0.01,1,46,0.23,"RL"
"rl_total_money",0.51155,0.299393184448932,0,1,24,0.12,"RL"
"rl_win_stay_ratio",0.4545,0.272226535136016,0,1,16,0.08,"RL"
