"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.49995,0.278456798161243,0.01,1,14,0.07,"RL"
"rl_good_deck_ratio",0.46595,0.297453340794399,0,1,20,0.1,"RL"
"rl_lose_shift_ratio",0.5755,0.241083713228247,0.11,0.99,5,0.025,"RL"
"rl_new_bad_deck_ratio",0.55735,0.294876649963111,0.01,1,18,0.09,"RL"
"rl_new_good_deck_ratio",0.451,0.294840046917531,0,0.99,17,0.085,"RL"
"rl_skip_ratio",0.6715,0.252971784233124,0.02,1,25,0.125,"RL"
"rl_total_money",0.50635,0.285275459757229,0.01,1,17,0.085,"RL"
"rl_win_stay_ratio",0.442,0.274391057181728,0,0.99,16,0.08,"RL"
