"statistic","mean_ppp","sd_ppp","min_ppp","max_ppp","extreme_count","extreme_ratio","component"
"rl_avg_outcome",0.49305,0.279151977663003,0.01,1,13,0.065,"RL"
"rl_good_deck_ratio",0.5017,0.26890455238143,0,1,14,0.07,"RL"
"rl_lose_shift_ratio",0.552036734693878,0.274328594935955,0.03,1,13,0.065,"RL"
"rl_new_bad_deck_ratio",0.45315,0.253604324226405,0,1,14,0.07,"RL"
"rl_new_good_deck_ratio",0.5543,0.252281070818774,0,1,14,0.07,"RL"
"rl_skip_ratio",0.6489,0.244813106851803,0,1,11,0.055,"RL"
"rl_total_money",0.494,0.285857609421757,0,1,16,0.08,"RL"
"rl_win_stay_ratio",0.44755,0.275464883442609,0,1,17,0.085,"RL"
