"statistic","observed","predicted_mean","predicted_sd","predicted_q025","predicted_q975","ppp_value","ppp_extreme","subject_id","component"
"rt_play_quantiles_90%",0.811104995131637,0.855638792073441,0.0896001244514997,0.682016881993154,1.03807725220422,0.69,FALSE,"200005","SSM"
"rt_skip_mean",0.68134875971606,0.574178467210123,0.0661324712258291,0.456151361219958,0.700123496530763,0.08,FALSE,"200005","SSM"
"rt_skip_median",0.526346970324056,0.473954546114374,0.0559819561103804,0.374625331471987,0.58079616436832,0.16,FALSE,"200005","SSM"
"rt_skip_quantiles_10%",0.312705326961534,0.298656574787338,0.0253148956972278,0.253434185930312,0.351091525683357,0.25,FALSE,"200005","SSM"
"rt_skip_quantiles_30%",0.406446295443816,0.37466081707956,0.0367451367178624,0.313921364693896,0.456206340634264,0.18,FALSE,"200005","SSM"
"rt_skip_quantiles_50%",0.526346970324056,0.473954546114374,0.0559819561103804,0.374625331471987,0.58079616436832,0.16,FALSE,"200005","SSM"
"rt_skip_quantiles_70%",0.806149249133051,0.625675024030604,0.0860988233436547,0.494212371973599,0.795378078534669,0.02,TRUE,"200005","SSM"
"rt_skip_quantiles_90%",1.25811440337175,0.955137550424929,0.167583408247871,0.659417785865745,1.32143127971179,0.07,FALSE,"200005","SSM"
"choice_prob",0.675,0.6895,0.0559408357497196,0.574166666666667,0.787708333333333,0.63,FALSE,"200005","SSM"
"total_money",500,-256.75,1457.29120773489,-3143.125,2095.625,0.31,FALSE,"200007","RL"
"skip_ratio",0.375,0.41625,0.0518914816690486,0.312291666666667,0.5,0.8,FALSE,"200007","RL"
"good_deck_ratio",0.586666666666667,0.540726639770433,0.0403060661679503,0.458569004524887,0.617307692307692,0.11,FALSE,"200007","RL"
"new_good_deck_ratio",0.745762711864407,0.721298734063194,0.0397014611800189,0.645297805642633,0.8,0.24,FALSE,"200007","RL"
"new_bad_deck_ratio",0.254237288135593,0.278701265936806,0.0397014611800188,0.2,0.354702194357367,0.76,FALSE,"200007","RL"
"avg_outcome",6.66666666666667,-3.87395316115632,20.6765763852675,-43.0140296546546,32.1193074003795,0.31,FALSE,"200007","RL"
"win_stay_ratio",0.142857142857143,0.152504580768217,0.0551623300946208,0.054109756097561,0.263178294573643,0.55,FALSE,"200007","RL"
"lose_shift_ratio",0.928571428571429,0.92583962429899,0.0595746085886854,0.8,1,0.53,FALSE,"200007","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200007","SSM"
"mean_rt",0.702995310421251,0.672930375627443,0.0465481853642716,0.595051436466113,0.770511181106451,0.25,FALSE,"200007","SSM"
"median_rt",0.589744703010973,0.569340723726017,0.0452214087547168,0.497149785363425,0.658546487394257,0.3,FALSE,"200007","SSM"
"min_rt",0.300174503940483,0.295167072789089,0.0166869899590661,0.263254522526875,0.322676701720202,0.37,FALSE,"200007","SSM"
"max_rt",3.30432922867895,2.12968234999103,0.505506437667654,1.43471770603627,3.38537922572091,0.04,TRUE,"200007","SSM"
"rt_play_mean",0.703564863048943,0.657271300486716,0.0544608523815445,0.574092063652358,0.763910318020692,0.2,FALSE,"200007","SSM"
"rt_play_median",0.565658475520991,0.551761420303747,0.0480690779821358,0.474181415741363,0.639169710544444,0.39,FALSE,"200007","SSM"
"rt_play_quantiles_10%",0.346377181094443,0.353267483802881,0.0203247908119131,0.318584888797248,0.391002767831334,0.62,FALSE,"200007","SSM"
"rt_play_quantiles_30%",0.463758790269564,0.440729014362785,0.0299676046246458,0.389420658587888,0.497521991333708,0.23,FALSE,"200007","SSM"
"rt_play_quantiles_50%",0.565658475520991,0.551761420303747,0.0480690779821358,0.474181415741363,0.639169710544444,0.39,FALSE,"200007","SSM"
"rt_play_quantiles_70%",0.712326921697349,0.727792603086877,0.0734628525807626,0.609982344662332,0.869602691934975,0.54,FALSE,"200007","SSM"
"rt_play_quantiles_90%",1.18032885947489,1.09415283591449,0.131109913769373,0.902677964400248,1.39071115107615,0.26,FALSE,"200007","SSM"
"rt_skip_mean",0.702046056041765,0.694658026903298,0.0634783947010592,0.595399576860921,0.837033064690696,0.44,FALSE,"200007","SSM"
"rt_skip_median",0.639467784442549,0.596210681118216,0.0660732592678205,0.498369370348439,0.763658839540723,0.24,FALSE,"200007","SSM"
"rt_skip_quantiles_10%",0.386899262313503,0.384151033708586,0.0272964093424922,0.330860975244264,0.438248827730213,0.48,FALSE,"200007","SSM"
"rt_skip_quantiles_30%",0.488379770180901,0.485175307809328,0.0439216148430385,0.412368490123834,0.584835253804739,0.46,FALSE,"200007","SSM"
"rt_skip_quantiles_50%",0.639467784442549,0.596210681118216,0.0660732592678205,0.498369370348439,0.763658839540723,0.24,FALSE,"200007","SSM"
"rt_skip_quantiles_70%",0.756310396745666,0.775602925253846,0.0864522140263364,0.644706349425879,0.936123316438866,0.55,FALSE,"200007","SSM"
"rt_skip_quantiles_90%",1.16392253943952,1.11381664684717,0.151968838589247,0.886553706469326,1.4186680949672,0.34,FALSE,"200007","SSM"
"choice_prob",0.625,0.58375,0.0518914816690486,0.5,0.687708333333333,0.23,FALSE,"200007","SSM"
"total_money",625,-358.5,1492.37633364112,-3382.5,2338.125,0.3,FALSE,"200439","RL"
"skip_ratio",0.408333333333333,0.46625,0.0440381523958737,0.395625,0.550416666666667,0.95,FALSE,"200439","RL"
"good_deck_ratio",0.535211267605634,0.535644608504686,0.0426992817481614,0.464598950524738,0.621544980443286,0.48,FALSE,"200439","RL"
"new_good_deck_ratio",0.678571428571429,0.705081325881686,0.0457072616370853,0.626380813953488,0.798061224489796,0.74,FALSE,"200439","RL"
"new_bad_deck_ratio",0.321428571428571,0.294918674118314,0.0457072616370853,0.201938775510204,0.373619186046512,0.26,FALSE,"200439","RL"
"avg_outcome",8.80281690140845,-6.00393311564873,23.967527078813,-55.041015625,36.070114356884,0.32,FALSE,"200439","RL"
"win_stay_ratio",0.0961538461538462,0.135501562248299,0.0558298780947782,0.024375,0.261931818181818,0.76,FALSE,"200439","RL"
"lose_shift_ratio",0.916666666666667,0.919319940293625,0.0664223195857216,0.770915032679738,1,0.64,FALSE,"200439","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200439","SSM"
"mean_rt",1.09309052762097,1.06900444952669,0.0789741944235317,0.925997279289406,1.22353034756945,0.38,FALSE,"200439","SSM"
"median_rt",0.925584984497166,0.896037179114439,0.0680642988420555,0.787933735591413,1.04226549208024,0.36,FALSE,"200439","SSM"
"min_rt",0.435257857743698,0.424705913593934,0.0293025287763313,0.364810821038898,0.467255225953436,0.38,FALSE,"200439","SSM"
"max_rt",3.18257793286497,3.77452420856912,0.898803933076165,2.46283451223476,5.42858131310614,0.75,FALSE,"200439","SSM"
"rt_play_mean",1.12040788359603,1.06570527836203,0.0958520450101769,0.914413548438354,1.26774108062233,0.26,FALSE,"200439","SSM"
"rt_play_median",0.985350826627193,0.90170491649092,0.0842417340784054,0.761268843287664,1.06705762703632,0.14,FALSE,"200439","SSM"
"rt_play_quantiles_10%",0.576881970305444,0.542731776773733,0.0370283914656255,0.472644471439729,0.612945285832203,0.18,FALSE,"200439","SSM"
"rt_play_quantiles_30%",0.769670451076834,0.701551747190008,0.0544113844421834,0.601443522675625,0.818546598099772,0.08,FALSE,"200439","SSM"
"rt_play_quantiles_50%",0.985350826627193,0.90170491649092,0.0842417340784054,0.761268843287664,1.06705762703632,0.14,FALSE,"200439","SSM"
"rt_play_quantiles_70%",1.19148332659505,1.18903458461071,0.137615241161337,0.959285787649406,1.44738164991683,0.44,FALSE,"200439","SSM"
"rt_play_quantiles_90%",2.00679810361786,1.7945543158717,0.235042746050284,1.4159279128905,2.27820520526207,0.19,FALSE,"200439","SSM"
"rt_skip_mean",1.05350823631018,1.07442370944611,0.100597347128592,0.89842307443615,1.25956657601497,0.57,FALSE,"200439","SSM"
"rt_skip_median",0.84568113867897,0.892862285467756,0.0970666339201499,0.722089698805504,1.08868350107762,0.69,FALSE,"200439","SSM"
"rt_skip_quantiles_10%",0.514972898511857,0.540250072739422,0.0401128353871692,0.456994748423216,0.621178856773889,0.76,FALSE,"200439","SSM"
"rt_skip_quantiles_30%",0.665531161029869,0.701362883565018,0.0660667436643076,0.584193692947073,0.850218811038506,0.69,FALSE,"200439","SSM"
"rt_skip_quantiles_50%",0.84568113867897,0.892862285467756,0.0970666339201499,0.722089698805504,1.08868350107762,0.69,FALSE,"200439","SSM"
"rt_skip_quantiles_70%",1.27448249750908,1.19666761318296,0.148185258825494,0.932417862449675,1.50801983577687,0.24,FALSE,"200439","SSM"
"rt_skip_quantiles_90%",1.86445389793713,1.81948666157437,0.237021273012631,1.43935815615433,2.29275198708761,0.36,FALSE,"200439","SSM"
"choice_prob",0.591666666666667,0.53375,0.0440381523958737,0.449583333333333,0.604375,0.11,FALSE,"200439","SSM"
"total_money",-3825,-698,1931.35570221667,-4457.5,2573.125,0.94,FALSE,"200442","RL"
"skip_ratio",0.233333333333333,0.254333333333333,0.0608751182540674,0.153958333333333,0.362708333333333,0.59,FALSE,"200442","RL"
"good_deck_ratio",0.521739130434783,0.526852467686298,0.0287021499895827,0.47904919447641,0.581879646244553,0.6,FALSE,"200442","RL"
"new_good_deck_ratio",0.705882352941177,0.711831534593159,0.0414054193815394,0.648492286115007,0.794105643656716,0.58,FALSE,"200442","RL"
"new_bad_deck_ratio",0.294117647058824,0.288168465406841,0.0414054193815394,0.205894356343284,0.351507713884993,0.43,FALSE,"200442","RL"
"avg_outcome",-41.5760869565217,-8.31214401097115,22.6707484902214,-53.201287793953,27.4177170868347,0.94,FALSE,"200442","RL"
"win_stay_ratio",0.180327868852459,0.200818274345227,0.0513095470700172,0.110199652777778,0.289989406779661,0.65,FALSE,"200442","RL"
"lose_shift_ratio",0.791666666666667,0.853903265928744,0.0773361284909998,0.696231617647059,1,0.8,FALSE,"200442","RL"
"has_rt_data",1,1,0,1,1,1,TRUE,"200442","SSM"
"mean_rt",0.392763009332774,0.381444202097305,0.0392996187738675,0.324272194765305,0.466626508203218,0.37,FALSE,"200442","SSM"
"median_rt",0.329157993953868,0.295084094236244,0.0331008422738533,0.241823493559573,0.366389808059637,0.19,FALSE,"200442","SSM"
"min_rt",0.125448095406243,0.124667805291965,0.00650545394225122,0.11442171877054,0.140684367002031,0.44,FALSE,"200442","SSM"
"max_rt",1.39400146194138,1.59876564459735,0.405462541628462,1.05284462971617,2.62870687981143,0.68,FALSE,"200442","SSM"
"rt_play_mean",0.355796640761475,0.348036116557816,0.0341631132600143,0.293137850645461,0.424812183239872,0.38,FALSE,"200442","SSM"
"rt_play_median",0.298666343877425,0.263503213807367,0.0273645239932952,0.217241363255238,0.314397083610952,0.14,FALSE,"200442","SSM"
"rt_play_quantiles_10%",0.160675320502203,0.153480241196247,0.00870354850554778,0.140588321297452,0.170501689488006,0.2,FALSE,"200442","SSM"
"rt_play_quantiles_30%",0.209575677571993,0.199487457979736,0.0145936374923588,0.176334592655964,0.231674439342892,0.22,FALSE,"200442","SSM"
