"subject_id","category","session","statistic","observed","simulated_mean","simulated_sd","ppp","p_2.5","p_50","p_97.5","extreme_ppp"
"201406","choice","session","play_ratio",0.866666666666667,0.735406779661017,0.0868500375646114,0.047,0.542372881355932,0.745762711864407,0.88135593220339,TRUE
"201406","choice","session","pass_ratio",0.133333333333333,0.264593220338983,0.0868500375646114,0.953,0.11864406779661,0.254237288135593,0.457627118644068,TRUE
"201406","choice","session","play_ratio_deck1",0.8,0.538433333333333,0.196792178721743,0.129,0.2,0.533333333333333,0.9,FALSE
"201406","choice","session","play_ratio_deck2",1,0.781566666666667,0.223696786911875,0.099,0.233333333333333,0.866666666666667,1,FALSE
"201406","choice","session","play_ratio_deck3",0.8,0.797586206896552,0.109930597840517,0.5,0.551724137931034,0.810344827586207,0.96551724137931,FALSE
"201406","choice","session","play_ratio_deck4",0.866666666666667,0.829241379310345,0.109423773226685,0.363,0.551724137931034,0.827586206896552,1,FALSE
"201406","choice","session","good_play_ratio",0.833333333333333,0.813413793103448,0.0779736852482404,0.422,0.637931034482759,0.827586206896552,0.948275862068966,FALSE
"201406","choice","session","bad_play_ratio",0.9,0.66,0.151342562545718,0.047,0.316666666666667,0.666666666666667,0.916666666666667,TRUE
"201406","choice","session","net_score",-4,7.578,10.0394574906569,0.888,-10,7,30,FALSE
"201406","choice","session","total_earnings",1650,-63.4,1694.20837916474,0.183,-3150.625,-150,3175,FALSE
"201406","choice","session","mean_earnings",13.75,-0.53728813559322,14.3576981285148,0.187,-26.7002118644068,-1.27118644067797,26.9067796610169,FALSE
"201406","choice","session","total_plays",104,86.778,10.2483044326241,0.027,64,88,104,TRUE
"201406","choice","session","total_passes",16,31.222,10.2483044326241,0.953,14,30,54,TRUE
"201406","choice","session","win_stay_ratio",0.605042016806723,0.741329881566007,0.090413238294211,0.918,0.545405138339921,0.75,0.890458377239199,FALSE
"201406","choice","session","lose_shift_ratio",0.0336134453781513,0.267645884027071,0.133838858814398,0.983,0.0476190476190476,0.263157894736842,0.55,TRUE
"201406","rt","session","rt_mean",0.63505,0.641551590614921,0.0488880934614525,0.534,0.55167493135428,0.638918760821857,0.742331057942698,FALSE
"201406","rt","session","rt_sd",0.547984923579644,0.381499930909358,0.0609879289884264,0.01,0.277628329228227,0.374665832484338,0.518954046701092,TRUE
"201406","rt","session","rt_min",0.246,0.255215801196844,0.0125174816019926,0.771,0.230980192483282,0.254865337574332,0.280144999559672,FALSE
"201406","rt","session","rt_q10",0.3246,0.317082637318359,0.0167854060876487,0.295,0.28932865217866,0.316101597285745,0.353641362518005,FALSE
"201406","rt","session","rt_q30",0.3904,0.406150139973884,0.0277700237511967,0.695,0.355859655514921,0.404525095697683,0.465946928282885,FALSE
"201406","rt","session","rt_q50",0.4755,0.520583355807657,0.0435324211955439,0.85,0.441795928072217,0.518554042000416,0.614320017436048,FALSE
"201406","rt","session","rt_q70",0.6304,0.702484945715926,0.0645411785370193,0.869,0.584028595279635,0.701566832248743,0.833825827727889,FALSE
"201406","rt","session","rt_q90",0.9759,1.11830530232165,0.125440390011039,0.872,0.89474526890305,1.11051997478564,1.38093511134987,FALSE
"201406","rt","session","rt_skew",4.29517435597604,1.97684320988355,0.575474440174307,0.005,1.13154593155284,1.87835260720225,3.38156885600865,TRUE
"201406","rt","session","rt_mean_play",0.537769230769231,0.604337669792411,0.0525370414763201,0.913,0.514408828674996,0.600299110239342,0.712488857277867,FALSE
"201406","rt","session","rt_sd_play",0.279396410133557,0.36194350857599,0.0684947365651362,0.901,0.247563466814113,0.354420037012266,0.506530708197628,FALSE
"201406","rt","session","rt_min_play",0.246,0.255611443520692,0.013040481107773,0.776,0.231512066869866,0.25501939606185,0.282641058521999,FALSE
"201406","rt","session","rt_q10_play",0.3119,0.307980488682281,0.0165370204674363,0.363,0.279186522542116,0.306955443969101,0.346124637377717,FALSE
"201406","rt","session","rt_q30_play",0.3759,0.384533820274435,0.0271206682541955,0.602,0.340275984727396,0.382306560433886,0.441944053603202,FALSE
"201406","rt","session","rt_q50_play",0.4615,0.485744422932996,0.0454271625333084,0.678,0.409873698269723,0.481727454411811,0.588594339089124,FALSE
"201406","rt","session","rt_q70_play",0.5762,0.651563212424088,0.0709889023610599,0.865,0.528666783399607,0.646743571050314,0.804400817600643,FALSE
"201406","rt","session","rt_q90_play",0.7841,1.0454156013552,0.138908781729439,0.986,0.801881753608639,1.03612011884637,1.33890168384218,TRUE
"201406","rt","session","rt_skew_play",2.64555721239269,2.04017202015591,0.639239468439961,0.145,1.10426822703865,1.93014636993024,3.69244293658475,FALSE
