"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w","decay"
"1",1,1,NA,FALSE,25,2,0.25,3.1679806393222,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",2,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",3,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",4,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",5,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",6,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",7,1,NA,FALSE,25,2,0.25,3.2273241817602,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",8,1,NA,FALSE,25,2,0.25,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",9,1,NA,FALSE,25,2,0.25,3.24078972038114,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",10,1,NA,FALSE,25,2,0.25,3.06626080238493,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",11,1,NA,FALSE,25,3,0.100148079067003,0,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
"1",12,1,NA,FALSE,25,4,0.120273272169288,0.615655008947942,1.09611,0.02014865,0.3737015,0.309636,1.4433,-0.903316,0.426465,0.590863,0.532956
