"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","Arew","Apun","K","betaF","betaP"
"0001",1,1,NA,FALSE,60,3,0.118111375276931,0,1.29204012413032,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",2,1,NA,FALSE,60,3,0.100639719970059,0.160459839180112,0.934832543684559,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",3,1,NA,FALSE,60,2,0.25,0,0.48081372400952,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",4,1,NA,FALSE,60,1,0.25,0,0.744668961276678,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",5,1,NA,FALSE,60,1,0.25,0,1.38299001007106,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",6,1,NA,FALSE,60,2,0.25,0,0.995155757217266,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",7,1,NA,FALSE,60,1,0.25,0,0.563136977491605,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",8,1,NA,FALSE,60,2,0.25,0,0.638170301572836,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",9,1,NA,FALSE,60,1,0.25,0,1.17074696683245,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",10,1,NA,FALSE,60,1,0.25,0.557534795952961,1.06088591685958,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",11,1,NA,FALSE,60,3,0.121178069314919,0,0.574883883210235,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",12,1,NA,FALSE,60,2,0.25,0,0.946021101349631,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",13,1,NA,FALSE,60,4,0.149505782139022,0,2.27083635567589,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",14,1,NA,FALSE,60,2,0.25,0,0.591994761839417,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",15,1,NA,FALSE,60,3,0.117192776396405,0.107741614221595,1.96986360386861,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",16,1,NA,FALSE,60,4,0.142237778636627,0,1.55971334012419,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",17,1,NA,FALSE,60,1,0.25,0,0.571651655049577,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",18,1,NA,FALSE,60,1,0.25,0.420458279456943,1.76485363953508,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",19,1,NA,FALSE,60,1,0.25,0,0.995329897247402,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",20,1,NA,FALSE,60,2,0.25,0,0.755972429561136,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",21,2,NA,FALSE,60,1,0.25,0.683194479951635,0.658564198890968,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",22,2,NA,FALSE,60,1,0.25,0,0.970079160356871,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",23,2,NA,FALSE,60,2,0.25,0,1.37412349138201,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",24,2,NA,FALSE,60,1,0.25,0,1.43358168422658,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
"0001",25,2,NA,FALSE,60,1,0.25,0.687300539994612,0.837689060923656,1.87067,1.86454,0.134153,0.0796721,0.148603,0.6251895,0.6048165,0.16323,1.462005,-0.042847,-0.814394
