"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","wgt_rew","wgt_pun","update"
"0001",1,1,NA,FALSE,30,2,0.25,0,0.712667485767333,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",2,1,NA,FALSE,30,1,0.25,0,0.455044721004297,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",3,1,NA,FALSE,30,1,0.25,0.642308786744252,0.988297312887467,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",4,1,NA,FALSE,30,1,0.25,0,1.71437198319506,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",5,1,NA,FALSE,30,3,0.113191484147683,0.189492549106944,1.00169862970813,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",6,1,NA,FALSE,30,3,0.12650174513692,0.0766855141962878,1.2157330479235,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",7,1,NA,FALSE,30,3,0.113841921358835,0,0.827157394185592,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",8,1,NA,FALSE,30,1,0.25,0,1.04234731628383,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",9,1,NA,FALSE,30,2,0.25,0,1.01957675067262,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",10,1,NA,FALSE,30,1,0.25,0,0.515825350163381,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",11,1,NA,FALSE,30,1,0.25,0,0.836300992401862,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",12,1,NA,FALSE,30,4,0.107995030924212,0,1.34618059008294,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",13,1,NA,FALSE,30,1,0.25,0,0.531918502582845,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",14,1,NA,FALSE,30,2,0.25,3.11146965774242,0.709730455772987,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",15,1,NA,FALSE,30,2,0.25,0,2.0740945135559,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",16,1,NA,FALSE,30,2,0.25,0,0.977340212654654,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",17,1,NA,FALSE,30,1,0.25,0,0.91251922017934,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",18,1,NA,FALSE,30,4,0.127576999505982,0,0.691774514028057,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",19,1,NA,FALSE,30,1,0.25,0,0.820234413721971,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",20,1,NA,FALSE,30,2,0.25,0,1.28754764380629,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",21,2,NA,FALSE,30,1,0.25,0,0.675400146569264,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",22,2,NA,FALSE,30,1,0.25,0,1.52139580980798,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",23,2,NA,FALSE,30,1,0.25,0,1.67364292248458,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",24,2,NA,FALSE,30,2,0.25,0,0.818246637533377,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",25,2,NA,FALSE,30,1,0.25,0.82164091153536,1.07477738426624,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",26,2,NA,FALSE,30,2,0.25,0,1.45479635369964,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",27,2,NA,FALSE,30,1,0.25,0.739169970888179,0.77868835621589,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",28,2,NA,FALSE,30,2,0.25,0,1.23430380257672,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",29,2,NA,FALSE,30,2,0.25,0,0.786951597719877,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",30,2,NA,FALSE,30,1,0.25,0,0.49971335846506,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",31,2,NA,FALSE,30,1,0.25,0,1.17949995322125,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",32,2,NA,FALSE,30,3,0.145670696685556,0,0.609875058801136,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",33,2,NA,FALSE,30,3,0.130230226006825,0,1.53102691107961,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",34,2,NA,FALSE,30,3,0.135988277231809,0.0917368976864964,0.549486422278715,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",35,2,NA,FALSE,30,2,0.25,0,0.86053902817724,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",36,2,NA,FALSE,30,2,0.25,0,1.89469056875552,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",37,2,NA,FALSE,30,1,0.25,0.607054073933978,0.981476729155073,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",38,2,NA,FALSE,30,2,0.25,0,0.489100140256655,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",39,2,NA,FALSE,30,1,0.25,0.550558089639526,0.749746999548791,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",40,2,NA,FALSE,30,2,0.25,0,1.80789004290093,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",41,3,NA,FALSE,30,2,0.25,0,1.36527700254978,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",42,3,NA,FALSE,30,1,0.25,0.779163148289081,0.699830221163028,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",43,3,NA,FALSE,30,1,0.25,0,2.00687140921088,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",44,3,NA,FALSE,30,2,0.25,0,0.799607466161824,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",45,3,NA,FALSE,30,4,0.122105419053696,0,1.82908366374382,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",46,3,NA,FALSE,30,1,0.25,0.816095674422104,0.490516346794792,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",47,3,NA,FALSE,30,4,0.12766650589183,0,0.629507769205305,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",48,3,NA,FALSE,30,2,0.25,0,1.39266432484283,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",49,3,NA,FALSE,30,1,0.25,0,1.39885304816148,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",50,3,NA,FALSE,30,4,0.136778024560772,0,1.03565298962251,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",51,3,NA,FALSE,30,1,0.25,0.495422894333024,0.420436695947843,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",52,3,NA,FALSE,30,3,0.143317360372748,0.136946619302034,0.678946821413285,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",53,3,NA,FALSE,30,1,0.25,0.800694134575315,0.801060355066924,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",54,3,NA,FALSE,30,1,0.25,0.740867603826337,0.465792835659622,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",55,3,NA,FALSE,30,1,0.25,0.489157116774004,0.751829787423732,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",56,3,NA,FALSE,30,1,0.25,0.808210253366269,0.950234464117698,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",57,3,NA,FALSE,30,3,0.143413013697136,0,0.88040930573176,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",58,3,NA,FALSE,30,1,0.25,0.628164307528641,1.00193041931382,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",59,3,NA,FALSE,30,2,0.25,0,0.744174683248322,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",60,3,NA,FALSE,30,2,0.25,0,0.82487740219932,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",61,4,NA,FALSE,30,1,0.25,0.865019140613731,0.959148605795968,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",62,4,NA,FALSE,30,1,0.25,0.56647414015606,1.93932818804204,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",63,4,NA,FALSE,30,1,0.25,0.596031638875138,1.43205945774819,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",64,4,NA,FALSE,30,2,0.25,0,1.39247746936886,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",65,4,NA,FALSE,30,2,0.25,0,0.942918197892916,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",66,4,NA,FALSE,30,1,0.25,0,0.937890095089284,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",67,4,NA,FALSE,30,1,0.25,0.676242984831333,1.06385948842285,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",68,4,NA,FALSE,30,1,0.25,0,0.779976956364783,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",69,4,NA,FALSE,30,2,0.25,0,0.671993655422486,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",70,4,NA,FALSE,30,1,0.25,0,1.04136198389357,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",71,4,NA,FALSE,30,3,0.129574093013071,0.138002640788909,1.93573773690342,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",72,4,NA,FALSE,30,1,0.25,0.87894657998113,1.57799554583468,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",73,4,NA,FALSE,30,2,0.25,0,1.48092240954994,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",74,4,NA,FALSE,30,3,0.135469430044759,0.164052518247627,0.745560958112686,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",75,4,NA,FALSE,30,1,0.25,0.656423800333869,0.981277632243034,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",76,4,NA,FALSE,30,2,0.25,0,1.01253911691856,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",77,4,NA,FALSE,30,2,0.25,0,1.61156317121089,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",78,4,NA,FALSE,30,4,0.147333813423757,0,1.19055720587775,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",79,4,NA,FALSE,30,1,0.25,0.432781392848119,0.515525871562769,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",80,4,NA,FALSE,30,3,0.132481641194317,0,1.92900005633696,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",81,5,NA,FALSE,30,2,0.25,0,0.677120264447902,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",82,5,NA,FALSE,30,1,0.25,0.469910044712014,0.662864895635065,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",83,5,NA,FALSE,30,1,0.25,0.642525428719819,1.28319331422759,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",84,5,NA,FALSE,30,2,0.25,0,1.32523657503903,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",85,5,NA,FALSE,30,1,0.25,0,0.802229839483463,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",86,5,NA,FALSE,30,1,0.25,0,0.796221880095211,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",87,5,NA,FALSE,30,1,0.25,0,1.52166667468547,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",88,5,NA,FALSE,30,1,0.25,0,1.87099109148956,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",89,5,NA,FALSE,30,2,0.25,0,0.322968255023589,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",90,5,NA,FALSE,30,1,0.25,0.635633643949404,0.909290851039057,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",91,5,NA,FALSE,30,1,0.25,0,1.01512107199,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",92,5,NA,FALSE,30,4,0.134280881495215,0,1.19650447332945,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",93,5,NA,FALSE,30,1,0.25,0,2.34383382049599,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",94,5,NA,FALSE,30,3,0.121507550298702,0,0.768392107542662,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",95,5,NA,FALSE,30,1,0.25,0.801712526939809,0.591116759536694,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
"0001",96,5,NA,FALSE,30,1,0.25,0,1.31059292896891,1.859685,1.850615,0.134473,0.0798233,0.153088,0.7585665,0.532409,0.2463515,0.3957345
