"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay"
"1",1,1,NA,FALSE,25,1,0.25,0.463538835127838,1.424015,0.0405713,0.5928185,0.7796245
"1",2,1,NA,FALSE,25,3,0.123492879618425,0,1.424015,0.0405713,0.5928185,0.7796245
"1",3,1,NA,FALSE,25,3,0.113126480451319,0.191066207457334,1.424015,0.0405713,0.5928185,0.7796245
"1",4,1,NA,FALSE,25,3,0.118805034167599,0,1.424015,0.0405713,0.5928185,0.7796245
"1",5,1,NA,FALSE,25,3,0.103427791036665,0.181565317662898,1.424015,0.0405713,0.5928185,0.7796245
"1",6,1,NA,FALSE,25,3,0.135198475245852,0.0966114098555408,1.424015,0.0405713,0.5928185,0.7796245
"1",7,1,NA,FALSE,25,3,0.11319340262562,0.0646988891181536,1.424015,0.0405713,0.5928185,0.7796245
"1",8,1,NA,FALSE,25,3,0.149582099763211,0.169777622038964,1.424015,0.0405713,0.5928185,0.7796245
"1",9,1,NA,FALSE,25,3,0.130374124133959,0.185070425784215,1.424015,0.0405713,0.5928185,0.7796245
"1",10,1,NA,FALSE,25,3,0.106637505744584,0.13686409125803,1.424015,0.0405713,0.5928185,0.7796245
"1",11,1,NA,FALSE,25,3,0.137923592864536,0,1.424015,0.0405713,0.5928185,0.7796245
"1",12,1,NA,FALSE,25,3,0.12488090764964,0,1.424015,0.0405713,0.5928185,0.7796245
"1",13,1,NA,FALSE,25,3,0.121667676873039,0.160376387136057,1.424015,0.0405713,0.5928185,0.7796245
"1",14,1,NA,FALSE,25,3,0.128659629588947,0.0910181476036087,1.424015,0.0405713,0.5928185,0.7796245
"1",15,1,NA,FALSE,25,4,0.13984869371634,0,1.424015,0.0405713,0.5928185,0.7796245
"1",16,1,NA,FALSE,25,4,0.112453036312945,0,1.424015,0.0405713,0.5928185,0.7796245
"1",17,1,NA,FALSE,25,4,0.109202891029418,0,1.424015,0.0405713,0.5928185,0.7796245
"1",18,1,NA,FALSE,25,4,0.112543565407395,0,1.424015,0.0405713,0.5928185,0.7796245
"1",19,1,NA,FALSE,25,4,0.142085537116509,0,1.424015,0.0405713,0.5928185,0.7796245
"1",20,1,NA,FALSE,25,4,0.11817037089495,0,1.424015,0.0405713,0.5928185,0.7796245
"1",21,2,NA,FALSE,25,4,0.116806485585403,0,1.424015,0.0405713,0.5928185,0.7796245
"1",22,2,NA,FALSE,25,4,0.133526377473027,0,1.424015,0.0405713,0.5928185,0.7796245
"1",23,2,NA,FALSE,25,4,0.128057812177576,0.640840605529957,1.424015,0.0405713,0.5928185,0.7796245
"1",24,2,NA,FALSE,25,4,0.124110320094042,0,1.424015,0.0405713,0.5928185,0.7796245
"1",25,2,NA,FALSE,25,4,0.109914214012679,0,1.424015,0.0405713,0.5928185,0.7796245
"1",26,2,NA,FALSE,25,4,0.117925171786919,0.634357773291413,1.424015,0.0405713,0.5928185,0.7796245
"1",27,2,NA,FALSE,25,3,0.132955319527537,0.102294635877479,1.424015,0.0405713,0.5928185,0.7796245
"1",28,2,NA,FALSE,25,1,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",29,2,NA,FALSE,25,1,0.25,0.695954486704431,1.424015,0.0405713,0.5928185,0.7796245
"1",30,2,NA,FALSE,25,1,0.25,0.752839025715366,1.424015,0.0405713,0.5928185,0.7796245
"1",31,2,NA,FALSE,25,1,0.25,0.899463440373074,1.424015,0.0405713,0.5928185,0.7796245
"1",32,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",33,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",34,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",35,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",36,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",37,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",38,2,NA,FALSE,25,2,0.25,3.15219794696895,1.424015,0.0405713,0.5928185,0.7796245
"1",39,2,NA,FALSE,25,1,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",40,2,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
"1",41,3,NA,FALSE,25,2,0.25,0,1.424015,0.0405713,0.5928185,0.7796245
