"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update"
"0002",1,1,NA,FALSE,39,3,0.110465526627377,0,1.16532,0.15066,0.788325,0.7073
"0002",2,1,NA,FALSE,39,1,0.25,0.526891561946832,1.16532,0.15066,0.788325,0.7073
"0002",3,1,NA,FALSE,39,3,0.136494133225642,0.143148040876258,1.16532,0.15066,0.788325,0.7073
"0002",4,1,NA,FALSE,39,4,0.114684028504416,0,1.16532,0.15066,0.788325,0.7073
"0002",5,1,NA,FALSE,39,1,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",6,1,NA,FALSE,39,4,0.147975651151501,0,1.16532,0.15066,0.788325,0.7073
"0002",7,1,NA,FALSE,39,1,0.25,0.560710425372235,1.16532,0.15066,0.788325,0.7073
"0002",8,1,NA,FALSE,39,4,0.131381386518478,0,1.16532,0.15066,0.788325,0.7073
"0002",9,1,NA,FALSE,39,1,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",10,1,NA,FALSE,39,4,0.101564771437552,0,1.16532,0.15066,0.788325,0.7073
"0002",11,1,NA,FALSE,39,4,0.149741020763759,0,1.16532,0.15066,0.788325,0.7073
"0002",12,1,NA,FALSE,39,4,0.145965606160462,0,1.16532,0.15066,0.788325,0.7073
"0002",13,1,NA,FALSE,39,4,0.124579418310896,0.620285112876445,1.16532,0.15066,0.788325,0.7073
"0002",14,1,NA,FALSE,39,1,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",15,1,NA,FALSE,39,3,0.125822247727774,0.0806483581545763,1.16532,0.15066,0.788325,0.7073
"0002",16,1,NA,FALSE,39,1,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",17,1,NA,FALSE,39,1,0.25,0.654068077460397,1.16532,0.15066,0.788325,0.7073
"0002",18,1,NA,FALSE,39,3,0.145078775868751,0.0620975251309573,1.16532,0.15066,0.788325,0.7073
"0002",19,1,NA,FALSE,39,2,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",20,1,NA,FALSE,39,2,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",21,2,NA,FALSE,39,3,0.112696418410633,0.148411656985991,1.16532,0.15066,0.788325,0.7073
"0002",22,2,NA,FALSE,39,1,0.25,0.839212748571299,1.16532,0.15066,0.788325,0.7073
"0002",23,2,NA,FALSE,39,1,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",24,2,NA,FALSE,39,2,0.25,0,1.16532,0.15066,0.788325,0.7073
"0002",25,2,NA,FALSE,39,4,0.121726599347312,0,1.16532,0.15066,0.788325,0.7073
"0002",26,2,NA,FALSE,39,2,0.25,0,1.16532,0.15066,0.788325,0.7073
