"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","update","epP","epN","K","w"
"1",1,1,NA,FALSE,3,4,0.1326142175938,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",2,1,NA,FALSE,3,4,0.105948740895838,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",3,1,NA,FALSE,3,4,0.120306179032195,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",4,1,NA,FALSE,3,4,0.112067555473186,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",5,1,NA,FALSE,3,4,0.126894624275155,0.618852364935446,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",6,1,NA,FALSE,3,3,0.138211454625707,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",7,1,NA,FALSE,3,3,0.125295079697389,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",8,1,NA,FALSE,3,3,0.11289013645146,0.187037663103547,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",9,1,NA,FALSE,3,4,0.117934796703048,0.646605004917365,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",10,1,NA,FALSE,3,4,0.134104045201093,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",11,1,NA,FALSE,3,4,0.147222840005998,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",12,1,NA,FALSE,3,4,0.111077795759775,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",13,1,NA,FALSE,3,4,0.127038882812485,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",14,1,NA,FALSE,3,4,0.12338717590319,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
"1",15,1,NA,FALSE,3,4,0.138756820443086,0,1.928015,0.8289665,1.592905,0.0222244,2.383525,0.1483935,0.312264,0.828251
