"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay","explore_alpha","explore_bonus"
"0001",1,1,NA,FALSE,25,3,0.145482545299456,0,0.599657920136267,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",2,1,NA,FALSE,25,1,0.25,0.391896896716207,1.95131978892974,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",3,1,NA,FALSE,25,3,0.132920807064511,0.164867191249505,1.35936008036131,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",4,1,NA,FALSE,25,1,0.25,0,1.26033276039343,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",5,1,NA,FALSE,25,1,0.25,0.650843020144384,1.08919093376907,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",6,1,NA,FALSE,25,1,0.25,0.691934523638338,0.796370620745642,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",7,1,NA,FALSE,25,2,0.25,0,0.879696779473704,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",8,1,NA,FALSE,25,3,0.110907325439621,0.17168751390418,0.76700267039619,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",9,1,NA,FALSE,25,1,0.25,0.521195776329841,0.655648854355565,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",10,1,NA,FALSE,25,1,0.25,0,0.710026496747727,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",11,1,NA,FALSE,25,1,0.25,0,0.384799267036473,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",12,1,NA,FALSE,25,1,0.25,0.712726833554916,1.03356731142014,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",13,1,NA,FALSE,25,1,0.25,0.663894128042739,1.00617172953629,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",14,1,NA,FALSE,25,2,0.25,0,0.849706309912936,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",15,1,NA,FALSE,25,1,0.25,0,1.39259434506493,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",16,1,NA,FALSE,25,2,0.25,0,1.06295847870888,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",17,1,NA,FALSE,25,1,0.25,0,1.37529487259259,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",18,1,NA,FALSE,25,1,0.25,0,1.20862121249587,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",19,1,NA,FALSE,25,1,0.25,0,0.525697723905865,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",20,1,NA,FALSE,25,1,0.25,0,1.76446450371254,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",21,2,NA,FALSE,25,1,0.25,0,0.390675611903357,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",22,2,NA,FALSE,25,2,0.25,0,1.56008377021086,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",23,2,NA,FALSE,25,1,0.25,0,0.552220279154357,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",24,2,NA,FALSE,25,4,0.12910942559829,0,0.971072223239021,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",25,2,NA,FALSE,25,2,0.25,0,1.39378892555754,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",26,2,NA,FALSE,25,1,0.25,0,0.625773527651304,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",27,2,NA,FALSE,25,3,0.127250211546198,0.145399302442092,1.24680116291044,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",28,2,NA,FALSE,25,2,0.25,0,0.930029063229764,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",29,2,NA,FALSE,25,1,0.25,0.542882592824753,0.980201728395707,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",30,2,NA,FALSE,25,1,0.25,0,0.676053835271219,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",31,2,NA,FALSE,25,1,0.25,0,0.779217273172294,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",32,2,NA,FALSE,25,2,0.25,0,0.782911164529303,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
"0001",33,2,NA,FALSE,25,2,0.25,0,0.441313817192082,1.90433,1.920665,0.1318585,0.07831015,0.147118,0.936218,0.240088,0.51683,0.522138,0.3031675,1.35015
