"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","con","gain","loss","decay","explore_alpha","explore_bonus"
"0001",1,1,NA,FALSE,54,1,0.25,0.749438395537436,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",2,1,NA,FALSE,54,1,0.25,0.822796261601616,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",3,1,NA,FALSE,54,4,0.131555395037867,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",4,1,NA,FALSE,54,4,0.119431520800572,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",5,1,NA,FALSE,54,4,0.114531135512516,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",6,1,NA,FALSE,54,4,0.110309725219849,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",7,1,NA,FALSE,54,4,0.124961469089612,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",8,1,NA,FALSE,54,4,0.11272302379366,0.649798833893146,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",9,1,NA,FALSE,54,4,0.136950983095448,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",10,1,NA,FALSE,54,4,0.108961120352615,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",11,1,NA,FALSE,54,4,0.115524082933553,0.618964748876169,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",12,1,NA,FALSE,54,4,0.137449664750602,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",13,1,NA,FALSE,54,4,0.10625657561468,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",14,1,NA,FALSE,54,4,0.126034937298391,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
"0001",15,1,NA,FALSE,54,4,0.125892044790089,0,0.6836295,0.5709115,1.367255,0.590271,0.6486155,-3.021325
