"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update"
"0001",33,2,NA,FALSE,59,1,0.25,0,1.07763604824983,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",34,2,NA,FALSE,59,2,0.25,0,0.929787666443589,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",35,2,NA,FALSE,59,2,0.25,0,0.911632173916671,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",36,2,NA,FALSE,59,2,0.25,0,0.948313803082384,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",37,2,NA,FALSE,59,1,0.25,0.491060254455078,0.841040638281644,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",38,2,NA,FALSE,59,1,0.25,0.762642359139863,1.33333091817816,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",39,2,NA,FALSE,59,1,0.25,0.650308806775138,0.549968105683173,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",40,2,NA,FALSE,59,4,0.113784457801376,0,0.567121629487229,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",41,3,NA,FALSE,59,2,0.25,0,0.5198160303787,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",42,3,NA,FALSE,59,3,0.14040486154845,0.194970163726248,1.26303762736504,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",43,3,NA,FALSE,59,3,0.118568374891765,0.161349747446366,1.28795782521204,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",44,3,NA,FALSE,59,3,0.121636281907558,0.167541463300586,0.915626068547457,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",45,3,NA,FALSE,59,2,0.25,0,1.33717954044654,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",46,3,NA,FALSE,59,3,0.108639133861288,0.160252046212554,0.81876020382049,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",47,3,NA,FALSE,59,2,0.25,0,1.10188559466893,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",48,3,NA,FALSE,59,1,0.25,0.45049712160835,1.1091837793292,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",49,3,NA,FALSE,59,3,0.137206800852437,0,0.556990417694783,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",50,3,NA,FALSE,59,1,0.25,0,0.474764915689351,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",51,3,NA,FALSE,59,3,0.110308494791389,0.12688363653142,0.528114903785499,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",52,3,NA,FALSE,59,2,0.25,0,0.599469087250268,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",53,3,NA,FALSE,59,3,0.139163862203714,0.114505144103896,0.742941780398286,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",54,3,NA,FALSE,59,2,0.25,0,0.551342650739808,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",55,3,NA,FALSE,59,3,0.130429633008316,0.0792060033301823,0.57257373425225,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",56,3,NA,FALSE,59,1,0.25,0.898884867597371,1.44787952882831,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",57,3,NA,FALSE,59,1,0.25,0,1.27645713835693,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",58,3,NA,FALSE,59,1,0.25,0.656719749968033,1.4786370542083,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",59,3,NA,FALSE,59,2,0.25,0,0.971776688409239,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",60,3,NA,FALSE,59,3,0.132679665915202,0,0.970661347304661,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",61,4,NA,FALSE,59,1,0.25,0.613535254902672,1.15255956552038,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",62,4,NA,FALSE,59,2,0.25,0,0.710306200959138,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",63,4,NA,FALSE,59,1,0.25,0.774227612395771,1.4684408232762,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",64,4,NA,FALSE,59,2,0.25,0,0.845025966729103,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",65,4,NA,FALSE,59,1,0.25,0,0.710787192146058,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",66,4,NA,FALSE,59,1,0.25,0.522576551535167,0.725689962290153,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",67,4,NA,FALSE,59,2,0.25,0,1.3833440363697,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",68,4,NA,FALSE,59,4,0.100987913925201,0,1.42424271991924,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",69,4,NA,FALSE,59,1,0.25,0.418237426958513,0.703142621962551,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",70,4,NA,FALSE,59,2,0.25,0,0.524133631342402,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",71,4,NA,FALSE,59,4,0.126955733937211,0.63561973629985,1.12740117653661,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
"0001",72,4,NA,FALSE,59,2,0.25,0,0.888711481627596,1.86082,1.860415,0.136188,0.07967745,0.1486855,0.5137635,0.381161,1.399425,0.293292
