"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay"
"0002",1,1,NA,FALSE,20,3,0.146854382148013,0,1.25196623471735,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",2,1,NA,FALSE,20,2,0.25,0,0.39971952143008,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",3,1,NA,FALSE,20,1,0.25,0,0.781113208036748,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",4,1,NA,FALSE,20,1,0.25,0,0.483569894691384,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",5,1,NA,FALSE,20,1,0.25,0,1.1467196461864,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",6,1,NA,FALSE,20,1,0.25,0,0.433676829688054,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",7,1,NA,FALSE,20,1,0.25,0.892980492732022,0.449826003051125,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",8,1,NA,FALSE,20,1,0.25,0,1.28379549363159,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",9,1,NA,FALSE,20,1,0.25,0.3775837896741,0.817655642895967,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",10,1,NA,FALSE,20,2,0.25,3.00245630205609,1.68600899081536,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",11,1,NA,FALSE,20,3,0.146761854318902,0,0.972791326827858,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",12,1,NA,FALSE,20,1,0.25,0.522899091022555,0.977140023009276,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",13,1,NA,FALSE,20,2,0.25,0,1.37903667900989,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",14,1,NA,FALSE,20,1,0.25,0.688762505934574,1.2256159998115,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",15,1,NA,FALSE,20,2,0.25,0,0.905886714549117,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",16,1,NA,FALSE,20,1,0.25,0.827395829837769,0.86788048908367,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",17,1,NA,FALSE,20,1,0.25,0,0.793928047609551,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",18,1,NA,FALSE,20,2,0.25,0,0.755550154206284,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",19,1,NA,FALSE,20,3,0.143835821887478,0,1.20504610629704,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",20,1,NA,FALSE,20,1,0.25,0,0.505301083528912,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
"0002",21,2,NA,FALSE,20,1,0.25,0.435895076300949,0.147828287152697,1.930115,1.218405,0.05927485,0.053536,0.09591455,1.07955,0.2939645,0.9546375,0.491264
