"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error","model"
"wgt_rew",15,0.4519815,0.416658,"group",-0.0353235000000001,-0.0781525350041983,"ev"
"update",15,0.385628,0.46599,"group",0.080362,0.208392544109868,"ev"
"con",16,0.417777,0.6556165,"group",0.2378395,0.56929773539472,"ev"
"wgt_pun",16,0.232713,0.3520775,"group",0.1193645,0.512925792714631,"ev"
"wgt_rew",16,0.455726,0.44427,"group",-0.011456,-0.0251379118154329,"ev"
"update",16,0.4324765,0.5850635,"group",0.152587,0.35282148278577,"ev"
"con",17,0.4080265,0.4076295,"group",-0.000396999999999981,-0.000972976019939834,"ev"
"wgt_pun",17,0.2380755,0.250252,"group",0.0121765,0.0511455399652633,"ev"
"wgt_rew",17,0.445275,0.443981,"group",-0.00129400000000002,-0.00290606928302738,"ev"
"update",17,0.313183,0.3815695,"group",0.0683865,0.218359553360176,"ev"
"con",18,0.42314,0.9627165,"group",0.5395765,1.27517251973342,"ev"
"wgt_pun",18,0.263213,0.4009035,"group",0.1376905,0.523114359853046,"ev"
"wgt_rew",18,0.440751,0.4585265,"group",0.0177755,0.0403300276119623,"ev"
"update",18,0.204486,0.592788,"group",0.388302,1.89891728529092,"ev"
"con",19,1.22479,0.501465,"group",-0.723325,-0.590570628434262,"ev"
"wgt_pun",19,0.3481085,0.2890935,"group",-0.059015,-0.169530476848454,"ev"
"wgt_rew",19,0.5273895,0.4502165,"group",-0.0771729999999999,-0.14633017911809,"ev"
"update",19,0.1708505,0.422421,"group",0.2515705,1.47245984062089,"ev"
"con",20,0.6840475,0.6717285,"group",-0.012319,-0.0180089832942887,"ev"
"wgt_pun",20,0.260092,0.3586555,"group",0.0985635,0.378956292388847,"ev"
"wgt_rew",20,0.506731,0.4503745,"group",-0.0563565,-0.111215812729042,"ev"
"update",20,0.4015045,0.4420675,"group",0.040563,0.101027510276971,"ev"
"con",21,0.8787865,0.7335555,"group",-0.145231,-0.165263121361104,"ev"
"wgt_pun",21,0.4494585,0.3303915,"group",-0.119067,-0.264912110906791,"ev"
"wgt_rew",21,0.411022,0.4793435,"group",0.0683215,0.166223462491059,"ev"
"update",21,0.710272,0.2985515,"group",-0.4117205,-0.579665958956569,"ev"
"con",22,1.228485,0.644172,"group",-0.584313,-0.475637065165631,"ev"
"wgt_pun",22,0.275744,0.3657285,"group",0.0899845,0.326333483230823,"ev"
"wgt_rew",22,0.567872,0.42705,"group",-0.140822,-0.247981939592021,"ev"
"update",22,0.2198645,0.4883375,"group",0.268473,1.22108389485342,"ev"
"con",23,2.12845,1.05782,"group",-1.07063,-0.503009232070286,"ev"
"wgt_pun",23,0.209877,0.4077425,"group",0.1978655,0.942768859856011,"ev"
"wgt_rew",23,0.6375755,0.4725295,"group",-0.165046,-0.258865028533876,"ev"
"update",23,0.0394256,0.5944625,"group",0.5550369,14.0780837831257,"ev"
"con",24,0.4917625,0.5295525,"group",0.0377900000000001,0.0768460384840245,"ev"
"wgt_pun",24,0.309601,0.308214,"group",-0.00138700000000003,-0.00447995969005277,"ev"
"wgt_rew",24,0.4358435,0.4426415,"group",0.00679800000000003,0.0155973417063694,"ev"
"update",24,0.4084305,0.340845,"group",-0.0675855000000001,-0.165476133638404,"ev"
"con",25,1.08962,0.4739165,"group",-0.6157035,-0.565062590627925,"ev"
"wgt_pun",25,0.4887085,0.173762,"group",-0.3149465,-0.644446536125318,"ev"
"wgt_rew",25,0.4215565,0.5133345,"group",0.091778,0.217712216511903,"ev"
"update",25,0.786692,0.15204,"group",-0.634652,-0.806735037346255,"ev"
"con",26,1.56217,0.616327,"group",-0.945843,-0.605467394713764,"ev"
"wgt_pun",26,0.215863,0.2779425,"group",0.0620795,0.287587497625809,"ev"
"wgt_rew",26,0.6265715,0.4870835,"group",-0.139488,-0.222621041652868,"ev"
"update",26,0.3125565,0.3293855,"group",0.016829,0.0538430651738165,"ev"
"con",27,0.507699,0.7116075,"group",0.2039085,0.40163266029675,"ev"
"wgt_pun",27,0.294407,0.3000095,"group",0.00560250000000007,0.0190297785039081,"ev"
"wgt_rew",27,0.439331,0.4904445,"group",0.0511134999999999,0.11634394112867,"ev"
"update",27,0.290781,0.2955955,"group",0.00481450000000005,0.0165571340630923,"ev"
"con",28,1.321125,0.542077,"group",-0.779048,-0.58968530608383,"ev"
"wgt_pun",28,0.3944615,0.299816,"group",-0.0946455,-0.23993596333229,"ev"
"wgt_rew",28,0.50039,0.4598485,"group",-0.0405415,-0.0810198045524491,"ev"
"update",28,0.0880941,0.2846205,"group",0.1965264,2.23086903663242,"ev"
"con",29,0.520563,0.592041,"group",0.071478,0.137309028878349,"ev"
"wgt_pun",29,0.2881695,0.320574,"group",0.0324045000000001,0.11244944381692,"ev"
"wgt_rew",29,0.4558445,0.44218,"group",-0.0136645,-0.0299762309296262,"ev"
"update",29,0.372201,0.360395,"group",-0.011806,-0.0317194204206866,"ev"
"con",30,1.77253,0.4868405,"group",-1.2856895,-0.725341461075412,"ev"
"wgt_pun",30,0.226072,0.302041,"group",0.075969,0.336038961038961,"ev"
"wgt_rew",30,0.6192925,0.4353055,"group",-0.183987,-0.297092246394071,"ev"
"update",30,0.05324895,0.4303785,"group",0.37712955,7.08238472307905,"ev"
"con",31,2.921595,4.25121,"group",1.329615,0.455099012696832,"ev"
"wgt_pun",31,0.6993745,0.03454335,"group",-0.66483115,-0.950608222061285,"ev"
"wgt_rew",31,0.109398,0.7825185,"group",0.6731205,6.15295069379696,"ev"
"update",31,0.9868975,0.03786755,"group",-0.94902995,-0.961629703185994,"ev"
"con",32,2.10328,0.6193445,"group",-1.4839355,-0.705533975504926,"ev"
"wgt_pun",32,0.366455,0.2519605,"group",-0.1144945,-0.312438089260619,"ev"
"wgt_rew",32,0.5723115,0.5110125,"group",-0.061299,-0.107107755129855,"ev"
"update",32,0.0383405,0.3030355,"group",0.264695,6.90379624678864,"ev"
"con",33,0.359762,0.6072325,"group",0.2474705,0.68787281591719,"ev"
"wgt_pun",33,0.2329995,0.3259005,"group",0.092901,0.398717593814579,"ev"
"wgt_rew",33,0.432525,0.45405,"group",0.021525,0.0497659094850008,"ev"
"update",33,0.3222145,0.4364935,"group",0.114279,0.354667465306496,"ev"
"con",34,0.5779885,0.5478005,"group",-0.0301880000000001,-0.0522294128689413,"ev"
"wgt_pun",34,0.301229,0.247751,"group",-0.053478,-0.177532707674228,"ev"
"wgt_rew",34,0.4575825,0.4898415,"group",0.032259,0.0704987625182344,"ev"
"update",34,0.4147975,0.3616265,"group",-0.053171,-0.128185439883317,"ev"
"con",35,1.60141,0.6712715,"group",-0.9301385,-0.580824710723675,"ev"
"wgt_pun",35,0.315035,0.365584,"group",0.050549,0.160455187518847,"ev"
"wgt_rew",35,0.578574,0.4263895,"group",-0.1521845,-0.263033769232631,"ev"
"update",35,0.113263,0.462468,"group",0.349205,3.08313394488933,"ev"
"con",36,1.38209,0.50422,"group",-0.87787,-0.635175712146098,"ev"
"wgt_pun",36,0.407338,0.315819,"group",-0.091519,-0.224675822044592,"ev"
"wgt_rew",36,0.513476,0.430482,"group",-0.082994,-0.161631702358046,"ev"
"update",36,0.207424,0.4303115,"group",0.2228875,1.07455019669855,"ev"
"con",37,2.157565,1.211605,"group",-0.94596,-0.4384387028896,"ev"
"wgt_pun",37,0.164161,0.3276335,"group",0.1634725,0.995805946601203,"ev"
"wgt_rew",37,0.6548515,0.545992,"group",-0.1088595,-0.16623539840712,"ev"
"update",37,0.07800075,0.7075545,"group",0.62955375,8.07112431611234,"ev"
"con",38,0.927084,0.512753,"group",-0.414331,-0.446918510081071,"ev"
"wgt_pun",38,0.4513625,0.3071415,"group",-0.144221,-0.319523664460384,"ev"
